iter	Logloss
0	0.6921777137
1	0.6912757759
2	0.6903244499
3	0.6894516568
4	0.6885220264
5	0.6874771047
6	0.6866767468
7	0.6857806074
8	0.6848298825
9	0.6840373575
10	0.6831195865
11	0.6824120459
12	0.6817263165
13	0.681106249
14	0.6803390832
15	0.6797402848
16	0.6791117678
17	0.6785542692
18	0.6779833915
19	0.6774429832
20	0.6769625577
21	0.6764859988
22	0.6759816734
23	0.6755498815
24	0.674908992
25	0.6745297089
26	0.6740530068
27	0.673595943
28	0.673158126
29	0.6726397822
30	0.6720977787
31	0.6717279049
32	0.6714038668
33	0.6709299542
34	0.6705330642
35	0.6702223164
36	0.6699153093
37	0.6695062554
38	0.6691709464
39	0.6688226073
40	0.6684792147
41	0.6681181268
42	0.6678238436
43	0.6673132747
44	0.6670118058
45	0.6666633587
46	0.6664264745
47	0.6661297813
48	0.66584115
49	0.6655784232
50	0.6652733441
51	0.6649700303
52	0.664675924
53	0.6643558956
54	0.664086347
55	0.6637887488
56	0.6635212042
57	0.6632272094
58	0.6629985801
59	0.6627633736
60	0.6625542874
61	0.6623501167
62	0.662020493
63	0.6618861028
64	0.6616421534
65	0.6614058418
66	0.6611938193
67	0.6609127855
68	0.6606972811
69	0.6604471319
70	0.6602678392
71	0.6600464493
72	0.6598343978
73	0.6596392574
74	0.6594493663
75	0.6591585931
76	0.6590441263
77	0.6588322424
78	0.6585970509
79	0.6584362674
80	0.6581623021
81	0.6580252654
82	0.6578884421
83	0.6575870949
84	0.6574338569
85	0.6573563051
86	0.6572076095
87	0.6570798413
88	0.6569073049
89	0.6567951775
90	0.6566066155
91	0.6564350478
92	0.6562212669
93	0.6560495042
94	0.6559622026
95	0.6558300834
