iter	Passed	Remaining
0	12	1167
1	22	1037
2	32	999
3	41	955
4	52	953
5	61	928
6	71	910
7	81	899
8	91	888
9	101	870
10	110	853
11	120	841
12	130	832
13	141	826
14	151	817
15	161	807
16	171	795
17	182	791
18	192	780
19	203	774
20	214	766
21	224	755
22	234	744
23	244	732
24	253	721
25	263	710
26	275	704
27	285	693
28	295	682
29	305	672
30	314	658
31	323	646
32	332	634
33	341	622
34	352	613
35	362	604
36	373	595
37	384	586
38	395	578
39	406	569
40	418	560
41	429	551
42	439	542
43	450	532
44	463	525
45	478	519
46	490	511
47	501	501
48	511	490
49	521	479
50	531	468
51	541	458
52	551	447
53	560	435
54	570	425
55	579	414
56	589	403
57	599	392
58	609	381
59	620	372
60	629	361
61	639	350
62	649	340
63	659	329
64	669	319
65	678	308
66	688	297
67	698	287
68	707	276
69	717	266
70	727	256
71	737	245
72	748	235
73	759	225
74	770	215
75	781	205
76	790	195
77	800	184
78	810	174
79	820	164
80	830	153
81	839	143
82	849	133
83	858	122
84	869	112
85	880	102
86	891	92
87	903	82
88	915	71
89	927	61
90	939	51
91	951	41
92	963	31
93	974	20
94	985	10
95	995	0
