Date,Price,Open,High,Low,Vol.,Change %
31-12-2025,"2,292.50","2,292.50","2,292.50","2,292.50",,-0.67%
30-12-2025,"2,308.00","2,308.00","2,308.00","2,308.00",,0.41%
29-12-2025,"2,298.50","2,298.50","2,298.50","2,298.50",,-0.04%
26-12-2025,"2,299.50","2,299.50","2,299.50","2,299.50",,0.86%
24-12-2025,"2,280.00","2,280.00","2,280.00","2,280.00",,-0.89%
23-12-2025,"2,300.50","2,300.50","2,300.50","2,300.50",,0.20%
22-12-2025,"2,296.00","2,296.00","2,296.00","2,296.00",,0.26%
19-12-2025,"2,290.00","2,290.00","2,290.00","2,290.00",,0.09%
18-12-2025,"2,288.00","2,288.00","2,288.00","2,288.00",,-0.56%
17-12-2025,"2,301.00","2,301.00","2,301.00","2,301.00",,0.63%
16-12-2025,"2,286.50","2,286.50","2,286.50","2,286.50",,-0.22%
15-12-2025,"2,291.50","2,291.50","2,291.50","2,291.50",,-0.50%
12-12-2025,"2,303.00","2,303.00","2,303.00","2,303.00",,0.55%
11-12-2025,"2,290.50","2,290.50","2,290.50","2,290.50",,-0.56%
10-12-2025,"2,303.50","2,303.50","2,303.50","2,303.50",,-0.02%
09-12-2025,"2,304.00","2,304.00","2,304.00","2,304.00",,1.30%
08-12-2025,"2,274.50","2,274.50","2,274.50","2,274.50",,-0.48%
05-12-2025,"2,285.50","2,285.50","2,285.50","2,285.50",,0.86%
04-12-2025,"2,266.00","2,266.00","2,266.00","2,266.00",,-0.33%
03-12-2025,"2,273.50","2,273.50","2,273.50","2,273.50",,0.31%
02-12-2025,"2,266.50","2,266.50","2,266.50","2,266.50",,-0.02%
01-12-2025,"2,267.00","2,267.00","2,267.00","2,267.00",,-0.70%
28-11-2025,"2,283.00","2,283.00","2,283.00","2,283.00",,-1.10%
27-11-2025,"2,308.50","2,308.50","2,308.50","2,308.50",,1.76%
26-11-2025,"2,268.50","2,268.50","2,268.50","2,268.50",,-0.68%
25-11-2025,"2,284.00","2,284.00","2,284.00","2,284.00",,-1.10%
24-11-2025,"2,309.50","2,309.50","2,309.50","2,309.50",,-0.04%
21-11-2025,"2,310.50","2,310.50","2,310.50","2,310.50",,0.46%
20-11-2025,"2,300.00","2,300.00","2,300.00","2,300.00",,-0.02%
19-11-2025,"2,300.50","2,300.50","2,300.50","2,300.50",,-0.02%
18-11-2025,"2,301.00","2,301.00","2,301.00","2,301.00",,-0.02%
17-11-2025,"2,301.50","2,301.50","2,301.50","2,301.50",,-0.04%
14-11-2025,"2,302.50","2,302.50","2,302.50","2,302.50",,-0.02%
13-11-2025,"2,303.00","2,303.00","2,303.00","2,303.00",,0.02%
12-11-2025,"2,302.50","2,302.50","2,302.50","2,302.50",,-0.04%
11-11-2025,"2,303.50","2,303.50","2,303.50","2,303.50",,-0.02%
10-11-2025,"2,304.00","2,304.00","2,304.00","2,304.00",,-0.04%
07-11-2025,"2,305.00","2,305.00","2,305.00","2,305.00",,-0.02%
06-11-2025,"2,305.50","2,305.50","2,305.50","2,305.50",,-0.58%
04-11-2025,"2,319.00","2,319.00","2,319.00","2,319.00",,0.54%
03-11-2025,"2,306.50","2,306.50","2,306.50","2,306.50",,0.28%
31-10-2025,"2,300.00","2,300.00","2,300.00","2,300.00",,-0.45%
30-10-2025,"2,310.50","2,310.50","2,310.50","2,310.50",,0.09%
29-10-2025,"2,308.50","2,308.50","2,308.50","2,308.50",,0.09%
28-10-2025,"2,306.50","2,306.50","2,306.50","2,306.50",,-0.13%
27-10-2025,"2,309.50","2,309.50","2,309.50","2,309.50",,0.00%
24-10-2025,"2,309.50","2,309.50","2,309.50","2,309.50",,-0.06%
23-10-2025,"2,311.00","2,311.00","2,311.00","2,311.00",,-0.99%
21-10-2025,"2,334.00","2,334.00","2,334.00","2,334.00",,1.59%
17-10-2025,"2,297.50","2,297.50","2,297.50","2,297.50",,-0.56%
16-10-2025,"2,310.50","2,310.50","2,310.50","2,310.50",,1.07%
15-10-2025,"2,286.00","2,286.00","2,286.00","2,286.00",,-0.35%
14-10-2025,"2,294.00","2,294.00","2,294.00","2,294.00",,-1.31%
13-10-2025,"2,324.50","2,324.50","2,324.50","2,324.50",,1.26%
10-10-2025,"2,295.50","2,295.50","2,295.50","2,295.50",,-0.89%
09-10-2025,"2,316.00","2,316.00","2,316.00","2,316.00",,0.19%
08-10-2025,"2,311.50","2,311.50","2,311.50","2,311.50",,0.11%
07-10-2025,"2,309.00","2,309.00","2,309.00","2,309.00",,-0.45%
06-10-2025,"2,319.50","2,319.50","2,319.50","2,319.50",,-0.47%
03-10-2025,"2,330.50","2,330.50","2,330.50","2,330.50",,-0.04%
01-10-2025,"2,331.50","2,331.50","2,331.50","2,331.50",,-0.28%
30-09-2025,"2,338.00","2,338.00","2,338.00","2,338.00",,-0.45%
29-09-2025,"2,348.50","2,348.50","2,348.50","2,348.50",,-0.04%
26-09-2025,"2,349.50","2,349.50","2,349.50","2,349.50",,0.97%
25-09-2025,"2,327.00","2,327.00","2,327.00","2,327.00",,-1.61%
24-09-2025,"2,365.00","2,365.00","2,365.00","2,365.00",,1.05%
23-09-2025,"2,340.50","2,340.50","2,340.50","2,340.50",,-0.23%
22-09-2025,"2,346.00","2,346.00","2,346.00","2,346.00",,0.49%
19-09-2025,"2,334.50","2,334.50","2,334.50","2,334.50",,-0.68%
18-09-2025,"2,350.50","2,350.50","2,350.50","2,350.50",,0.73%
17-09-2025,"2,333.50","2,333.50","2,333.50","2,333.50",,-0.02%
16-09-2025,"2,334.00","2,334.00","2,334.00","2,334.00",,0.52%
15-09-2025,"2,322.00","2,322.00","2,322.00","2,322.00",,-1.32%
12-09-2025,"2,353.00","2,353.00","2,353.00","2,353.00",,0.41%
11-09-2025,"2,343.50","2,343.50","2,343.50","2,343.50",,0.00%
10-09-2025,"2,343.50","2,343.50","2,343.50","2,343.50",,-0.02%
09-09-2025,"2,344.00","2,344.00","2,344.00","2,344.00",,-0.45%
08-09-2025,"2,354.50","2,354.50","2,354.50","2,354.50",,0.73%
05-09-2025,"2,337.50","2,337.50","2,337.50","2,337.50",,-0.36%
04-09-2025,"2,346.00","2,346.00","2,346.00","2,346.00",,0.19%
03-09-2025,"2,341.50","2,341.50","2,341.50","2,341.50",,-0.66%
02-09-2025,"2,357.00","2,357.00","2,357.00","2,357.00",,0.43%
01-09-2025,"2,347.00","2,347.00","2,347.00","2,347.00",,0.15%
