"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2025","2,005.18","2,017.03","2,022.18","2,000.10","","-0.51%"
"30-12-2025","2,015.43","2,009.07","2,030.55","2,008.93","","0.37%"
"29-12-2025","2,007.98","2,004.25","2,029.30","1,991.78","","0.46%"
"24-12-2025","1,998.78","1,987.89","2,003.90","1,987.89","","0.60%"
"23-12-2025","1,986.95","1,970.95","1,998.03","1,970.95","","0.81%"
"22-12-2025","1,970.98","1,985.80","1,989.60","1,969.18","","-0.80%"
"19-12-2025","1,986.88","1,963.85","1,992.53","1,963.00","","1.31%"
"18-12-2025","1,961.18","1,958.69","1,967.03","1,954.23","","0.10%"
"17-12-2025","1,959.18","1,942.23","1,967.48","1,939.50","","0.76%"
"16-12-2025","1,944.38","1,943.53","1,952.08","1,940.73","","-0.12%"
"15-12-2025","1,946.78","1,968.40","1,974.30","1,939.78","","-1.16%"
"12-12-2025","1,969.53","1,983.02","1,987.80","1,966.78","","-0.80%"
"11-12-2025","1,985.48","1,981.70","1,995.45","1,981.58","","0.31%"
"10-12-2025","1,979.43","1,982.10","1,989.10","1,978.45","","0.08%"
"09-12-2025","1,977.83","2,003.05","2,004.15","1,975.43","","-1.03%"
"08-12-2025","1,998.43","2,007.95","2,016.90","1,997.18","","-0.35%"
"05-12-2025","2,005.43","2,016.10","2,024.63","2,001.18","","-0.50%"
"04-12-2025","2,015.48","2,002.05","2,020.98","1,997.73","","0.74%"
"03-12-2025","2,000.58","1,998.50","2,009.93","1,996.98","","0.18%"
"02-12-2025","1,996.98","1,997.93","2,010.43","1,993.80","","-0.22%"
"01-12-2025","2,001.48","1,986.10","2,007.53","1,975.83","","1.07%"
"28-11-2025","1,980.38","1,983.59","1,997.58","1,979.28","","-0.23%"
"27-11-2025","1,985.03","1,978.24","1,988.53","1,974.85","","0.51%"
"26-11-2025","1,975.03","1,984.80","1,990.23","1,975.03","","-0.33%"
"25-11-2025","1,981.58","1,990.15","1,994.88","1,979.98","","-0.19%"
"24-11-2025","1,985.38","1,993.00","1,999.65","1,982.98","","-0.26%"
"21-11-2025","1,990.48","2,008.70","2,015.40","1,988.18","","-1.05%"
"20-11-2025","2,011.63","2,017.27","2,024.80","2,008.28","","-0.27%"
"19-11-2025","2,017.13","2,023.58","2,029.50","2,017.13","","-0.43%"
"18-11-2025","2,025.78","2,037.17","2,044.73","2,023.58","","-0.82%"
"17-11-2025","2,042.43","2,063.90","2,064.90","2,036.48","","-1.32%"
"14-11-2025","2,069.73","2,074.22","2,082.50","2,062.48","","-0.35%"
"13-11-2025","2,076.93","2,089.19","2,095.65","2,075.98","","-0.80%"
"12-11-2025","2,093.68","2,066.80","2,098.82","2,064.15","","1.40%"
"11-11-2025","2,064.82","2,056.65","2,068.07","2,050.28","","0.11%"
"10-11-2025","2,062.50","2,049.85","2,066.18","2,046.65","","0.49%"
"07-11-2025","2,052.43","2,040.35","2,059.73","2,031.60","","0.62%"
"06-11-2025","2,039.78","2,020.27","2,039.78","2,017.85","","0.84%"
"05-11-2025","2,022.83","2,020.93","2,035.95","2,020.28","","-0.13%"
"04-11-2025","2,025.48","2,028.40","2,034.58","2,020.65","","-0.25%"
"03-11-2025","2,030.63","2,022.10","2,035.35","2,021.95","","0.21%"
"31-10-2025","2,026.43","2,028.15","2,029.80","2,014.68","","-0.04%"
"30-10-2025","2,027.30","2,028.55","2,036.73","2,023.65","","0.09%"
