Date,Price,Open,High,Low,Vol.,Change %
31-12-2025,"1,946.00","1,951.00","1,951.00","1,944.00",0.19K,-0.26%
30-12-2025,"1,951.00","1,951.00","1,953.00","1,949.00",0.29K,-0.15%
29-12-2025,"1,954.00","1,950.00","1,961.00","1,950.00",0.46K,0.41%
26-12-2025,"1,946.00","1,926.00","1,949.00","1,926.00",0.39K,1.35%
24-12-2025,"1,920.00","1,902.00","1,925.00","1,902.00",0.33K,1.27%
23-12-2025,"1,896.00","1,896.00","1,896.00","1,896.00",,0.26%
22-12-2025,"1,891.00","1,891.00","1,891.00","1,891.00",,0.64%
19-12-2025,"1,879.00","1,879.00","1,879.00","1,879.00",,-0.48%
18-12-2025,"1,888.00","1,888.00","1,888.00","1,888.00",,2.89%
17-12-2025,"1,835.00","1,835.00","1,835.00","1,835.00",0.01K,-2.55%
16-12-2025,"1,883.00","1,875.00","1,890.00","1,875.00",0.02K,0.16%
15-12-2025,"1,880.00","1,880.00","1,880.00","1,880.00",,2.17%
12-12-2025,"1,840.00","1,840.00","1,840.00","1,840.00",0.03K,-1.81%
11-12-2025,"1,874.00","1,874.00","1,874.00","1,874.00",,0.37%
10-12-2025,"1,867.00","1,867.00","1,867.00","1,867.00",,-0.05%
09-12-2025,"1,868.00","1,868.00","1,868.00","1,868.00",,2.86%
08-12-2025,"1,816.00","1,806.00","1,822.00","1,806.00",0.03K,-0.49%
05-12-2025,"1,825.00","1,825.00","1,825.00","1,825.00",,0.94%
04-12-2025,"1,808.00","1,808.00","1,808.00","1,808.00",,1.01%
03-12-2025,"1,790.00","1,790.00","1,790.00","1,790.00",0.01K,0.11%
02-12-2025,"1,788.00","1,788.00","1,788.00","1,788.00",0.01K,0.39%
01-12-2025,"1,781.00","1,781.00","1,781.00","1,781.00",,-1.06%
28-11-2025,"1,800.00","1,800.00","1,800.00","1,800.00",0.01K,1.47%
27-11-2025,"1,774.00","1,774.00","1,774.00","1,774.00",,-1.83%
26-11-2025,"1,807.00","1,807.00","1,807.00","1,807.00",0.01K,1.46%
25-11-2025,"1,781.00","1,781.00","1,781.00","1,781.00",,0.96%
24-11-2025,"1,764.00","1,764.00","1,764.00","1,764.00",,-3.34%
21-11-2025,"1,825.00","1,825.00","1,825.00","1,823.00",0.03K,2.41%
20-11-2025,"1,782.00","1,782.00","1,782.00","1,782.00",,-1.00%
19-11-2025,"1,800.00","1,800.00","1,800.00","1,800.00",,-0.17%
18-11-2025,"1,803.00","1,803.00","1,803.00","1,803.00",,-0.72%
17-11-2025,"1,816.00","1,816.00","1,816.00","1,816.00",,-2.10%
14-11-2025,"1,855.00","1,855.00","1,855.00","1,855.00",,0.65%
13-11-2025,"1,843.00","1,843.00","1,843.00","1,843.00",,-1.86%
12-11-2025,"1,878.00","1,878.00","1,878.00","1,878.00",,1.19%
11-11-2025,"1,856.00","1,856.00","1,856.00","1,856.00",,-0.05%
10-11-2025,"1,857.00","1,857.00","1,857.00","1,857.00",,-1.69%
07-11-2025,"1,889.00","1,889.00","1,889.00","1,889.00",,-0.94%
06-11-2025,"1,907.00","1,907.00","1,907.00","1,907.00",,-0.10%
04-11-2025,"1,909.00","1,909.00","1,909.00","1,909.00",,0.21%
03-11-2025,"1,905.00","1,905.00","1,905.00","1,905.00",,-0.10%
31-10-2025,"1,907.00","1,907.00","1,907.00","1,907.00",,-1.29%
30-10-2025,"1,932.00","1,932.00","1,932.00","1,932.00",,-1.33%
29-10-2025,"1,958.00","1,958.00","1,958.00","1,958.00",,0.00%
28-10-2025,"1,958.00","1,958.00","1,958.00","1,958.00",,0.00%
27-10-2025,"1,958.00","1,958.00","1,958.00","1,958.00",,-0.05%
24-10-2025,"1,959.00","1,959.00","1,959.00","1,959.00",,-2.54%
23-10-2025,"2,010.00","2,010.00","2,010.00","2,010.00",,-4.78%
21-10-2025,"2,111.00","2,111.00","2,111.00","2,111.00",,0.52%
17-10-2025,"2,100.00","2,100.00","2,100.00","2,100.00",,2.39%
16-10-2025,"2,051.00","2,051.00","2,051.00","2,051.00",,-1.20%
15-10-2025,"2,076.00","2,076.00","2,076.00","2,076.00",,-1.24%
14-10-2025,"2,102.00","2,102.00","2,102.00","2,102.00",,0.00%
13-10-2025,"2,102.00","2,102.00","2,102.00","2,102.00",,-0.05%
10-10-2025,"2,103.00","2,103.00","2,103.00","2,103.00",,0.00%
09-10-2025,"2,103.00","2,103.00","2,103.00","2,103.00",,-0.61%
08-10-2025,"2,116.00","2,116.00","2,116.00","2,116.00",,-1.76%
07-10-2025,"2,154.00","2,154.00","2,154.00","2,154.00",,1.17%
06-10-2025,"2,129.00","2,129.00","2,129.00","2,129.00",,-1.84%
03-10-2025,"2,169.00","2,169.00","2,169.00","2,169.00",,-5.98%
01-10-2025,"2,307.00","2,307.00","2,307.00","2,307.00",,-0.04%
30-09-2025,"2,308.00","2,308.00","2,308.00","2,308.00",,2.90%
29-09-2025,"2,243.00","2,243.00","2,243.00","2,243.00",,-2.01%
26-09-2025,"2,289.00","2,289.00","2,289.00","2,289.00",,-0.04%
25-09-2025,"2,290.00","2,290.00","2,290.00","2,290.00",,-0.22%
24-09-2025,"2,295.00","2,295.00","2,295.00","2,295.00",,-1.76%
23-09-2025,"2,336.00","2,336.00","2,336.00","2,336.00",,1.08%
22-09-2025,"2,311.00","2,311.00","2,311.00","2,311.00",,-1.03%
19-09-2025,"2,335.00","2,335.00","2,335.00","2,335.00",,-0.68%
18-09-2025,"2,351.00","2,351.00","2,351.00","2,351.00",,0.00%
17-09-2025,"2,351.00","2,351.00","2,351.00","2,351.00",,0.60%
16-09-2025,"2,337.00","2,337.00","2,337.00","2,337.00",,-0.64%
15-09-2025,"2,352.00","2,352.00","2,352.00","2,352.00",,-0.04%
12-09-2025,"2,353.00","2,353.00","2,353.00","2,353.00",,0.38%
11-09-2025,"2,344.00","2,344.00","2,344.00","2,344.00",,-0.42%
10-09-2025,"2,354.00","2,354.00","2,354.00","2,354.00",,0.00%
09-09-2025,"2,354.00","2,354.00","2,354.00","2,354.00",,-0.04%
08-09-2025,"2,355.00","2,355.00","2,355.00","2,355.00",,-0.04%
05-09-2025,"2,356.00","2,356.00","2,356.00","2,356.00",,-0.04%
04-09-2025,"2,357.00","2,357.00","2,357.00","2,357.00",,0.00%
03-09-2025,"2,357.00","2,357.00","2,357.00","2,357.00",,0.00%
02-09-2025,"2,357.00","2,357.00","2,357.00","2,357.00",,-0.42%
01-09-2025,"2,367.00","2,367.00","2,367.00","2,367.00",,-1.74%
29-08-2025,"2,409.00","2,409.00","2,409.00","2,409.00",,0.00%
28-08-2025,"2,409.00","2,409.00","2,409.00","2,409.00",,-0.04%
26-08-2025,"2,410.00","2,410.00","2,410.00","2,410.00",,0.00%
25-08-2025,"2,410.00","2,410.00","2,410.00","2,410.00",,0.58%
22-08-2025,"2,396.00","2,396.00","2,396.00","2,396.00",,-0.66%
21-08-2025,"2,412.00","2,412.00","2,412.00","2,412.00",,1.34%
20-08-2025,"2,380.00","2,380.00","2,380.00","2,380.00",,-0.87%
19-08-2025,"2,401.00","2,401.00","2,401.00","2,401.00",,0.00%
18-08-2025,"2,401.00","2,401.00","2,401.00","2,401.00",,-0.08%
14-08-2025,"2,403.00","2,403.00","2,403.00","2,403.00",,0.00%
13-08-2025,"2,403.00","2,403.00","2,403.00","2,403.00",,-0.04%
12-08-2025,"2,404.00","2,404.00","2,404.00","2,404.00",,0.00%
11-08-2025,"2,404.00","2,404.00","2,404.00","2,404.00",,1.01%
08-08-2025,"2,380.00","2,380.00","2,380.00","2,380.00",,-1.08%
