Date,Price,Open,High,Low,Vol.,Change %
31-12-2025,107.13,107.13,107.13,107.13,,0.00%
30-12-2025,107.13,107.13,107.13,107.13,,0.05%
29-12-2025,107.08,107.08,107.08,107.08,,0.08%
26-12-2025,106.99,106.99,106.99,106.99,,0.05%
24-12-2025,106.94,106.94,106.94,106.94,,-0.01%
23-12-2025,106.95,106.95,106.95,106.95,,0.01%
22-12-2025,106.94,106.94,106.94,106.94,,0.02%
19-12-2025,106.92,106.92,106.92,106.92,,0.02%
18-12-2025,106.9,106.9,106.9,106.9,,0.27%
17-12-2025,106.61,106.61,106.61,106.61,,0.24%
16-12-2025,106.36,106.36,106.36,106.36,,0.25%
15-12-2025,106.1,106.1,106.1,106.1,,0.05%
12-12-2025,106.05,106.05,106.05,106.05,,-0.15%
11-12-2025,106.21,106.21,106.21,106.21,,-0.42%
10-12-2025,106.66,106.66,106.66,106.66,,0.35%
09-12-2025,106.29,106.29,106.29,106.29,,-0.12%
08-12-2025,106.42,106.42,106.42,106.42,,-0.76%
05-12-2025,107.24,107.24,107.24,107.24,,-0.59%
04-12-2025,107.88,107.88,107.88,107.88,,0.10%
03-12-2025,107.77,107.77,107.77,107.77,,0.39%
02-12-2025,107.35,107.35,107.35,107.35,,0.38%
01-12-2025,106.94,106.94,106.94,106.94,,2.00%
28-11-2025,104.84,104.84,104.84,104.84,,0.20%
26-11-2025,104.63,104.63,104.63,104.63,,0.11%
25-11-2025,104.51,104.51,104.51,104.51,,0.09%
24-11-2025,104.42,104.42,104.42,104.42,,0.15%
21-11-2025,104.26,104.26,104.26,104.26,,0.02%
20-11-2025,104.24,104.24,104.24,104.24,,-0.02%
19-11-2025,104.26,104.26,104.26,104.26,,-0.05%
18-11-2025,104.31,104.31,104.31,104.31,,-0.11%
17-11-2025,104.42,104.42,104.42,104.42,,0.45%
14-11-2025,103.95,103.95,103.95,103.95,,-0.10%
13-11-2025,104.05,104.05,104.05,104.05,,-0.12%
12-11-2025,104.17,104.17,104.17,104.17,,0.59%
11-11-2025,103.56,103.56,103.56,103.56,,-0.39%
10-11-2025,103.97,103.97,103.97,103.97,,0.61%
07-11-2025,103.34,103.34,103.34,103.34,,-1.66%
06-11-2025,105.08,105.08,105.08,105.08,,0.33%
05-11-2025,104.73,104.73,104.73,104.73,,0.20%
04-11-2025,104.52,104.52,104.52,104.52,,-1.25%
03-11-2025,105.84,105.84,105.84,105.84,,0.01%
31-10-2025,105.83,105.83,105.83,105.83,,0.09%
30-10-2025,105.73,105.73,105.73,105.73,,0.07%
29-10-2025,105.66,105.66,105.66,105.66,,0.09%
28-10-2025,105.56,105.56,105.56,105.56,,-0.01%
27-10-2025,105.57,105.57,105.57,105.57,,0.15%
24-10-2025,105.41,105.41,105.41,105.41,,-0.13%
23-10-2025,105.55,105.55,105.55,105.55,,0.00%
22-10-2025,105.55,105.55,105.55,105.55,,0.02%
21-10-2025,105.53,105.53,105.53,105.53,,0.03%
20-10-2025,105.5,105.5,105.5,105.5,,0.14%
17-10-2025,105.35,105.35,105.35,105.35,,-0.20%
16-10-2025,105.56,105.56,105.56,105.56,,0.01%
15-10-2025,105.55,105.55,105.55,105.55,,0.29%
14-10-2025,105.25,105.25,105.25,105.25,,-1.20%
13-10-2025,106.53,106.53,106.53,106.53,,0.75%
10-10-2025,105.74,105.74,105.74,105.74,,0.84%
09-10-2025,104.86,104.86,104.86,104.86,,0.55%
08-10-2025,104.29,104.29,104.29,104.29,,0.07%
07-10-2025,104.22,104.22,104.22,104.22,,-0.25%
06-10-2025,104.48,104.48,104.48,104.48,,0.11%
03-10-2025,104.36,104.36,104.36,104.36,,0.25%
02-10-2025,104.1,104.1,104.1,104.1,,0.08%
01-10-2025,104.02,104.02,104.02,104.02,,-1.21%
30-09-2025,105.29,105.29,105.29,105.29,,-0.06%
29-09-2025,105.35,105.35,105.35,105.35,,-0.09%
26-09-2025,105.44,105.44,105.44,105.44,,-0.09%
25-09-2025,105.54,105.54,105.54,105.54,,0.00%
24-09-2025,105.54,105.54,105.54,105.54,,0.05%
23-09-2025,105.49,105.49,105.49,105.49,,0.00%
22-09-2025,105.49,105.49,105.49,105.49,,0.05%
19-09-2025,105.44,105.44,105.44,105.44,,0.19%
18-09-2025,105.24,105.24,105.24,105.24,,-0.06%
17-09-2025,105.3,105.3,105.3,105.3,,-0.11%
16-09-2025,105.42,105.42,105.42,105.42,,0.10%
15-09-2025,105.31,105.31,105.31,105.31,,-0.11%
12-09-2025,105.43,105.43,105.43,105.43,,0.24%
11-09-2025,105.18,105.18,105.18,105.18,,-0.59%
10-09-2025,105.8,105.8,105.8,105.8,,-0.26%
09-09-2025,106.08,106.08,106.08,106.08,,1.10%
08-09-2025,104.93,104.93,104.93,104.93,,0.42%
05-09-2025,104.49,104.49,104.49,104.49,,-0.04%
04-09-2025,104.53,104.53,104.53,104.53,,1.25%
03-09-2025,103.24,103.24,103.24,103.24,,0.69%
02-09-2025,102.53,102.53,102.53,102.53,,0.71%
29-08-2025,101.81,101.81,101.81,101.81,,0.10%
28-08-2025,101.71,101.71,101.71,101.71,,0.12%
27-08-2025,101.59,101.59,101.59,101.59,,0.06%
26-08-2025,101.53,101.53,101.53,101.53,,-0.07%
25-08-2025,101.6,101.6,101.6,101.6,,0.18%
22-08-2025,101.42,101.42,101.42,101.42,,-0.15%
21-08-2025,101.57,101.57,101.57,101.57,,0.05%
20-08-2025,101.52,101.52,101.52,101.52,,-0.05%
19-08-2025,101.57,101.57,101.57,101.57,,-0.05%
18-08-2025,101.62,101.62,101.62,101.62,,0.03%
15-08-2025,101.59,101.59,101.59,101.59,,-0.24%
14-08-2025,101.83,101.83,101.83,101.83,,-0.20%
13-08-2025,102.03,102.03,102.03,102.03,,-0.37%
12-08-2025,102.41,102.41,102.41,102.41,,0.44%
11-08-2025,101.96,101.96,101.96,101.96,,0.73%
08-08-2025,101.22,101.22,101.22,101.22,,0.01%
07-08-2025,101.21,101.21,101.21,101.21,,0.29%
06-08-2025,100.92,100.92,100.92,100.92,,-0.43%
05-08-2025,101.36,101.36,101.36,101.36,,0.59%
04-08-2025,100.77,100.77,100.77,100.77,,1.21%
01-08-2025,99.57,99.57,99.57,99.57,,0.45%
31-07-2025,99.12,99.12,99.12,99.12,,0.05%
30-07-2025,99.07,99.07,99.07,99.07,,0.09%
29-07-2025,98.98,98.98,98.98,98.98,,0.31%
28-07-2025,98.67,98.67,98.67,98.67,,0.12%
25-07-2025,98.55,98.55,98.55,98.55,,-0.03%
24-07-2025,98.58,98.58,98.58,98.58,,0.32%
23-07-2025,98.27,98.27,98.27,98.27,,0.16%
22-07-2025,98.11,98.11,98.11,98.11,,0.28%
21-07-2025,97.84,97.84,97.84,97.84,,0.64%
18-07-2025,97.22,97.22,97.22,97.22,,0.04%
17-07-2025,97.18,97.18,97.18,97.18,,0.12%
16-07-2025,97.06,97.06,97.06,97.06,,0.58%
15-07-2025,96.5,96.5,96.5,96.5,,-0.27%
14-07-2025,96.76,96.76,96.76,96.76,,0.05%
