"Date","Price","Open","High","Low","Vol.","Change %"
"29-12-2025","215.00","215.00","215.00","215.00","","0.00%"
"28-12-2025","215.00","215.00","215.00","215.00","0.00K","0.99%"
"25-12-2025","212.90","212.90","213.00","212.90","0.01K","-0.05%"
"23-12-2025","213.00","213.00","213.00","213.00","","1.09%"
"22-12-2025","210.70","211.00","211.00","210.00","0.00K","0.91%"
"21-12-2025","208.80","208.50","209.50","208.50","0.00K","-0.10%"
"18-12-2025","209.00","209.00","209.00","209.00","0.00K","0.14%"
"17-12-2025","208.70","208.70","208.70","208.70","0.00K","0.34%"
"16-12-2025","208.00","207.00","208.00","207.00","0.00K","0.24%"
"15-12-2025","207.50","207.50","207.50","207.50","0.00K","0.34%"
"14-12-2025","206.80","206.90","206.90","206.80","0.00K","-0.10%"
"11-12-2025","207.00","207.00","207.00","207.00","0.00K","0.05%"
"10-12-2025","206.90","206.90","206.90","206.90","0.00K","1.47%"
"09-12-2025","203.90","204.00","204.00","203.90","0.00K","-1.26%"
"08-12-2025","206.50","206.50","206.50","206.50","0.00K","1.23%"
"07-12-2025","204.00","204.00","204.00","204.00","0.00K","-5.99%"
"27-11-2025","217.00","214.00","217.00","214.00","0.00K","2.02%"
"26-11-2025","212.70","212.50","212.80","212.50","0.01K","0.90%"
"25-11-2025","210.80","213.00","213.00","210.80","0.00K","-0.57%"
"24-11-2025","212.00","212.00","212.00","212.00","0.00K","0.57%"
"23-11-2025","210.80","209.50","211.00","209.50","0.01K","0.86%"
"20-11-2025","209.00","209.00","209.00","209.00","0.00K","0.48%"
"19-11-2025","208.00","206.00","208.00","206.00","0.01K","0.73%"
"18-11-2025","206.50","206.50","206.50","206.50","0.00K","0.98%"
"17-11-2025","204.50","204.50","204.50","204.50","0.00K","0.74%"
"16-11-2025","203.00","203.00","203.00","203.00","0.00K","0.25%"
"13-11-2025","202.50","202.50","202.50","202.50","0.00K","-0.25%"
"12-11-2025","203.00","203.00","203.00","203.00","0.00K","1.00%"
"11-11-2025","201.00","201.00","201.00","201.00","0.00K","0.25%"
"10-11-2025","200.50","200.50","200.50","200.50","0.00K","-0.15%"
"09-11-2025","200.80","199.90","201.40","199.90","0.01K","-2.14%"
"30-10-2025","205.20","205.20","205.20","205.20","","0.00%"
"29-10-2025","205.20","205.20","205.20","205.20","","-1.35%"
"28-10-2025","208.00","208.10","208.10","208.00","0.01K","1.81%"
"27-10-2025","204.30","202.00","205.00","202.00","0.00K","0.39%"
"26-10-2025","203.50","203.50","203.50","203.50","0.00K","-0.25%"
"23-10-2025","204.00","203.00","204.00","203.00","0.01K","0.49%"
"22-10-2025","203.00","203.00","203.00","203.00","0.00K","0.74%"
"21-10-2025","201.50","201.00","202.00","201.00","0.00K","0.25%"
"20-10-2025","201.00","200.00","201.00","200.00","0.00K","1.01%"
"16-10-2025","199.00","199.00","199.00","199.00","0.00K","-0.50%"
"15-10-2025","200.00","200.00","200.00","200.00","0.00K","0.05%"
"14-10-2025","199.90","199.90","199.90","199.90","0.00K","0.60%"
"13-10-2025","198.70","198.50","199.00","198.50","0.01K","-0.15%"
"12-10-2025","199.00","199.00","199.00","199.00","0.00K","-1.44%"
"09-10-2025","201.90","201.90","201.90","201.90","0.00K","0.30%"
"08-10-2025","201.30","201.00","201.50","201.00","0.00K","-0.35%"
"07-10-2025","202.00","202.00","202.00","202.00","0.00K","-1.75%"
"29-09-2025","205.60","205.60","205.60","205.60","","-3.38%"
"28-09-2025","212.80","212.00","213.00","212.00","0.01K","0.14%"
"25-09-2025","212.50","211.00","213.00","211.00","0.00K","0.24%"
"24-09-2025","212.00","212.00","212.00","212.00","0.00K","-1.40%"
"23-09-2025","215.00","215.00","215.00","215.00","0.00K","0.23%"
"22-09-2025","214.50","211.50","215.00","211.50","0.02K","-1.65%"
"21-09-2025","218.10","218.10","218.10","218.10","0.00K","0.00%"
"18-09-2025","218.10","218.10","218.10","218.10","0.00K","0.00%"
"17-09-2025","218.10","218.10","218.10","218.10","0.00K","1.39%"
"16-09-2025","215.10","215.10","215.10","215.10","0.00K","0.00%"
"15-09-2025","215.10","215.00","215.10","215.00","0.00K","1.70%"
"14-09-2025","211.50","211.50","211.50","211.50","0.00K","-0.24%"
"11-09-2025","212.00","212.00","212.00","212.00","0.00K","-0.05%"
"10-09-2025","212.10","212.10","212.10","212.10","0.00K","0.05%"
"09-09-2025","212.00","212.00","212.00","212.00","0.00K","0.24%"
"08-09-2025","211.50","211.50","211.50","211.50","0.00K","-0.47%"
"07-09-2025","212.50","212.50","212.50","212.50","0.00K","2.07%"
"28-08-2025","208.20","205.00","210.00","205.00","0.01K","-0.38%"
"27-08-2025","209.00","214.90","214.90","209.00","0.00K","-2.34%"
"26-08-2025","214.00","214.00","214.00","214.00","0.00K","-1.83%"
"25-08-2025","218.00","215.00","218.00","215.00","0.01K","0.69%"
"24-08-2025","216.50","214.00","216.50","214.00","0.01K","0.00%"
"21-08-2025","216.50","216.00","217.00","216.00","0.01K","-0.46%"
"20-08-2025","217.50","217.50","217.50","217.50","0.00K","0.00%"
"19-08-2025","217.50","217.50","217.50","217.50","0.00K","-0.23%"
"18-08-2025","218.00","218.00","218.00","218.00","0.00K","0.00%"
"17-08-2025","218.00","218.00","218.00","218.00","0.00K","-0.46%"
