Date,Price,Open,High,Low,Vol.,Change %
31-12-2025,28.161,27.755,28.43,27.755,0.03K,1.42%
30-12-2025,27.766,27.766,27.766,27.766,,-2.69%
29-12-2025,28.534,28.45,29.0,28.42,0.01K,1.56%
26-12-2025,28.095,28.095,28.095,28.095,,0.00%
24-12-2025,28.095,28.22,28.22,28.17,0.02K,1.31%
23-12-2025,27.732,27.79,27.79,27.79,0.01K,0.16%
22-12-2025,27.687,27.687,27.687,27.687,0.00K,-1.68%
19-12-2025,28.161,27.95,28.475,27.755,0.92K,1.84%
18-12-2025,27.652,27.55,27.835,27.3,0.53K,1.08%
17-12-2025,27.357,27.085,27.475,27.075,1.13K,2.22%
16-12-2025,26.764,26.97,27.0,26.68,1.05K,-2.41%
15-12-2025,27.425,27.73,27.745,27.28,0.56K,-0.94%
12-12-2025,27.684,27.355,27.56,27.245,0.49K,3.28%
11-12-2025,26.805,26.715,26.92,26.635,0.91K,0.76%
10-12-2025,26.602,27.015,27.09,26.55,1.41K,-3.23%
09-12-2025,27.489,27.4,27.53,27.34,0.42K,2.30%
08-12-2025,26.871,27.55,27.67,26.805,0.76K,-1.45%
05-12-2025,27.266,27.36,27.36,27.105,1.08K,0.66%
04-12-2025,27.088,27.575,27.58,27.055,1.11K,-3.96%
03-12-2025,28.206,27.995,28.27,27.995,1.11K,0.56%
02-12-2025,28.05,27.715,28.105,27.56,1.13K,-0.63%
01-12-2025,28.227,28.275,28.43,27.88,0.69K,-2.05%
28-11-2025,28.817,29.07,29.16,28.655,0.17K,-1.88%
26-11-2025,29.368,29.37,29.5,29.26,0.05K,-0.06%
25-11-2025,29.386,29.65,29.65,29.245,0.06K,-1.21%
24-11-2025,29.747,30.025,30.025,29.3,0.09K,-1.49%
21-11-2025,30.198,30.62,30.7,30.485,2.21K,-3.08%
20-11-2025,31.159,31.035,31.195,30.89,2.59K,0.71%
19-11-2025,30.94,31.155,31.185,30.675,1.96K,-2.38%
18-11-2025,31.694,31.74,31.95,31.49,2.16K,0.88%
17-11-2025,31.418,31.475,31.6,31.23,2.88K,0.54%
14-11-2025,31.25,30.745,31.08,30.59,1.11K,2.60%
13-11-2025,30.458,31.01,31.01,30.375,5.16K,-1.54%
12-11-2025,30.933,31.365,31.365,30.8,7.75K,-0.54%
