"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2025","407.50","407.50","407.50","407.50","","0.00%"
"30-12-2025","407.50","407.50","407.50","407.50","","0.00%"
"29-12-2025","407.50","407.50","407.50","407.50","","0.00%"
"26-12-2025","407.50","407.50","407.50","407.50","","3.56%"
"24-12-2025","393.50","393.50","393.50","393.50","","0.00%"
"23-12-2025","393.50","393.50","393.50","393.50","","0.00%"
"22-12-2025","393.50","393.50","393.50","393.50","","0.00%"
"19-12-2025","393.50","393.50","393.50","393.50","","0.00%"
"18-12-2025","393.50","393.50","393.50","393.50","","-0.13%"
"17-12-2025","394.00","394.00","394.00","394.00","","0.25%"
"16-12-2025","393.00","393.00","393.00","393.00","","0.00%"
"15-12-2025","393.00","393.00","393.00","393.00","","0.51%"
"12-12-2025","391.00","391.00","391.00","391.00","","-0.26%"
"11-12-2025","392.00","392.00","392.00","392.00","","0.00%"
"10-12-2025","392.00","392.00","392.00","392.00","","0.00%"
"09-12-2025","392.00","392.00","392.00","392.00","","0.00%"
"08-12-2025","392.00","392.00","392.00","392.00","","0.00%"
"05-12-2025","392.00","392.00","392.00","392.00","","0.64%"
"04-12-2025","389.50","389.50","389.50","389.50","","-0.13%"
"03-12-2025","390.00","390.00","390.00","390.00","0.05K","0.65%"
"02-12-2025","387.50","387.50","387.50","387.50","","0.00%"
"01-12-2025","387.50","387.50","387.50","387.50","","-0.64%"
"28-11-2025","390.00","390.00","390.00","390.00","","-5.11%"
"26-11-2025","411.00","411.00","411.00","411.00","","0.00%"
"25-11-2025","411.00","411.00","411.00","411.00","","0.00%"
"24-11-2025","411.00","411.00","411.00","411.00","","0.00%"
"21-11-2025","411.00","411.00","411.00","411.00","","0.24%"
"20-11-2025","410.00","410.00","410.00","410.00","","0.49%"
"19-11-2025","408.00","408.00","408.00","408.00","","-0.12%"
"18-11-2025","408.50","408.50","408.50","408.50","","0.12%"
"17-11-2025","408.00","408.00","408.00","408.00","","0.00%"
"14-11-2025","408.00","408.00","408.00","408.00","","0.00%"
"13-11-2025","408.00","408.00","408.00","408.00","0.05K","0.00%"
"12-11-2025","408.00","408.00","408.00","408.00","0.10K","1.12%"
"11-11-2025","403.50","403.50","403.50","403.50","","0.94%"
"10-11-2025","399.75","399.75","399.75","399.75","","0.63%"
"07-11-2025","397.25","397.25","397.25","397.25","","0.13%"
"06-11-2025","396.75","396.75","396.75","396.75","0.05K","-4.34%"
"05-11-2025","414.75","414.75","414.75","414.75","","0.24%"
"04-11-2025","413.75","413.75","413.75","413.75","","-1.49%"
"03-11-2025","420.00","420.00","420.00","420.00","","-0.36%"
"31-10-2025","421.50","421.50","421.50","421.50","","6.64%"
"30-10-2025","395.26","395.26","395.26","395.26","","0.00%"
"29-10-2025","395.25","395.25","395.25","395.25","","0.00%"
"28-10-2025","395.25","395.25","395.25","395.25","","0.00%"
"27-10-2025","395.25","395.25","395.25","395.25","","0.00%"
"24-10-2025","395.25","395.25","395.25","395.25","","0.00%"
"23-10-2025","395.25","395.25","395.25","395.25","","0.00%"
"22-10-2025","395.25","395.25","395.25","395.25","","0.00%"
"21-10-2025","395.25","395.25","395.25","395.25","","0.06%"
"20-10-2025","395.00","395.00","395.00","395.00","","0.06%"
"17-10-2025","394.75","394.75","394.75","394.75","","0.19%"
"16-10-2025","394.00","394.00","394.00","394.00","","0.19%"
"15-10-2025","393.25","393.25","393.25","393.25","","-0.19%"
"14-10-2025","394.00","394.00","394.00","394.00","","-0.44%"
"13-10-2025","395.75","395.75","395.75","395.75","","-0.31%"
"10-10-2025","397.00","397.00","397.00","397.00","","-0.94%"
"09-10-2025","400.75","400.75","400.75","400.75","","-0.43%"
"08-10-2025","402.50","402.50","402.50","402.50","","-0.43%"
"07-10-2025","404.25","404.25","404.25","404.25","","-1.40%"
"06-10-2025","410.00","410.00","410.00","410.00","","-0.12%"
"03-10-2025","410.50","410.50","410.50","410.50","","-0.85%"
"02-10-2025","414.00","414.00","414.00","414.00","","0.18%"
"01-10-2025","413.25","413.25","413.25","413.25","","0.79%"
"30-09-2025","410.00","410.00","410.00","410.00","","1.74%"
"29-09-2025","403.00","403.00","403.00","403.00","","-3.47%"
"26-09-2025","417.50","417.50","417.50","417.50","","-0.24%"
"25-09-2025","418.50","418.50","418.50","418.50","","-0.95%"
"24-09-2025","422.50","422.50","422.50","422.50","","-0.35%"
"23-09-2025","424.00","424.00","424.00","424.00","","-0.24%"
"22-09-2025","425.00","425.00","425.00","425.00","","0.00%"
"19-09-2025","425.00","425.00","425.00","425.00","","0.00%"
"18-09-2025","425.00","425.00","425.00","425.00","","-0.23%"
"17-09-2025","426.00","426.00","426.00","426.00","","-0.35%"
"16-09-2025","427.50","427.50","427.50","427.50","","0.00%"
"15-09-2025","427.50","427.50","427.50","427.50","","0.00%"
"12-09-2025","427.50","427.50","427.50","427.50","","0.00%"
"11-09-2025","427.50","427.50","427.50","427.50","","-0.23%"
"10-09-2025","428.50","428.50","428.50","428.50","","-0.58%"
"09-09-2025","431.00","431.00","431.00","431.00","","1.17%"
"08-09-2025","426.00","426.00","426.00","426.00","","-0.35%"
"05-09-2025","427.50","427.50","427.50","427.50","","-2.84%"
"04-09-2025","440.00","440.00","440.00","440.00","","-1.12%"
"03-09-2025","445.00","445.00","445.00","445.00","","-1.11%"
"02-09-2025","450.00","450.00","450.00","450.00","","-1.10%"
"29-08-2025","455.00","455.00","455.00","455.00","","-10.14%"
"28-08-2025","506.33","506.33","506.33","506.33","","0.02%"
"27-08-2025","506.25","506.25","506.25","506.25","","0.05%"
"26-08-2025","506.00","506.00","506.00","506.00","","0.05%"
"25-08-2025","505.75","505.75","505.75","505.75","","0.10%"
"22-08-2025","505.25","505.25","505.25","505.25","","0.15%"
"21-08-2025","504.50","504.50","504.50","504.50","","0.05%"
"20-08-2025","504.25","504.25","504.25","504.25","","0.05%"
"19-08-2025","504.00","504.00","504.00","504.00","","0.15%"
"18-08-2025","503.25","503.25","503.25","503.25","","-0.10%"
"15-08-2025","503.75","503.75","503.75","503.75","","0.25%"
"14-08-2025","502.50","502.50","502.50","502.50","","0.05%"
"13-08-2025","502.25","502.25","502.25","502.25","","0.05%"
"12-08-2025","502.00","502.00","502.00","502.00","","0.15%"
"11-08-2025","501.25","501.25","501.25","501.25","","1.52%"
"08-08-2025","493.75","493.75","493.75","493.75","","0.66%"
"07-08-2025","490.50","490.50","490.50","490.50","","-0.41%"
"06-08-2025","492.50","492.50","492.50","492.50","","-2.04%"
"05-08-2025","502.75","502.75","502.75","502.75","","-0.20%"
"04-08-2025","503.75","503.75","503.75","503.75","0.05K","2.28%"
"01-08-2025","492.50","492.50","492.50","492.50","","5.24%"
"31-07-2025","468.00","468.00","468.00","468.00","","0.00%"
"30-07-2025","468.00","468.00","468.00","468.00","","0.00%"
"29-07-2025","468.00","468.00","468.00","468.00","","0.05%"
"28-07-2025","467.75","467.75","467.75","467.75","","0.11%"
"25-07-2025","467.25","467.25","467.25","467.25","","0.11%"
"24-07-2025","466.75","466.75","466.75","466.75","","0.11%"
"23-07-2025","466.25","466.25","466.25","466.25","","0.16%"
"22-07-2025","465.50","465.50","465.50","465.50","","0.27%"
"21-07-2025","464.25","464.25","464.25","464.25","","0.43%"
"18-07-2025","462.25","462.25","462.25","462.25","","0.49%"
"17-07-2025","460.00","460.00","460.00","460.00","","0.00%"
"16-07-2025","460.00","460.00","460.00","460.00","","0.00%"
"15-07-2025","460.00","460.00","460.00","460.00","","0.00%"
"14-07-2025","460.00","460.00","460.00","460.00","","0.05%"
"11-07-2025","459.75","459.75","459.75","459.75","","0.05%"
"10-07-2025","459.50","459.50","459.50","459.50","","0.22%"
"09-07-2025","458.50","458.50","458.50","458.50","","0.94%"
"08-07-2025","454.25","454.25","454.25","454.25","","2.48%"
"07-07-2025","443.25","443.25","443.25","443.25","","1.90%"
"03-07-2025","435.00","435.00","435.00","435.00","","0.00%"
"02-07-2025","435.00","435.00","435.00","435.00","","0.00%"
"01-07-2025","435.00","435.00","435.00","435.00","","0.00%"
"30-06-2025","435.00","435.00","435.00","435.00","","0.00%"
"27-06-2025","435.00","435.00","435.00","435.00","","8.52%"
"26-06-2025","400.83","400.83","400.83","400.83","","0.02%"
"25-06-2025","400.75","400.75","400.75","400.75","","0.00%"
"24-06-2025","400.75","400.75","400.75","400.75","","0.06%"
"23-06-2025","400.50","400.50","400.50","400.50","","-0.12%"
"20-06-2025","401.00","401.00","401.00","401.00","","-0.25%"
"18-06-2025","402.00","402.00","402.00","402.00","","0.25%"
"17-06-2025","401.00","401.00","401.00","401.00","","0.50%"
"16-06-2025","399.00","399.00","399.00","399.00","","1.01%"
"13-06-2025","395.00","395.00","395.00","395.00","0.09K","2.66%"
"12-06-2025","384.75","384.75","384.75","384.75","","0.07%"
"11-06-2025","384.50","384.50","384.50","384.50","","-0.13%"
"10-06-2025","385.00","385.00","385.00","385.00","","0.00%"
"09-06-2025","385.00","385.00","385.00","385.00","","0.00%"
"06-06-2025","385.00","385.00","385.00","385.00","","0.00%"
"05-06-2025","385.00","385.00","385.00","385.00","","0.00%"
"04-06-2025","385.00","385.00","385.00","385.00","","0.00%"
"03-06-2025","385.00","385.00","385.00","385.00","","-0.06%"
"02-06-2025","385.25","385.25","385.25","385.25","","-0.58%"
"30-05-2025","387.50","387.50","387.50","387.50","","1.47%"
"29-05-2025","381.90","381.90","381.90","381.90","","-0.16%"
"28-05-2025","382.50","382.50","382.50","382.50","","0.00%"
"27-05-2025","382.50","382.50","382.50","382.50","","0.00%"
"23-05-2025","382.50","382.50","382.50","382.50","","0.00%"
"22-05-2025","382.50","382.50","382.50","382.50","","0.07%"
"21-05-2025","382.25","382.25","382.25","382.25","","0.07%"
"20-05-2025","382.00","382.00","382.00","382.00","","0.13%"
"19-05-2025","381.50","381.50","381.50","381.50","","0.20%"
"16-05-2025","380.75","380.75","380.75","380.75","","0.46%"
"15-05-2025","379.00","379.00","379.00","379.00","","0.00%"
"14-05-2025","379.00","379.00","379.00","379.00","","0.07%"
"13-05-2025","378.75","378.75","378.75","378.75","","0.07%"
"12-05-2025","378.50","378.50","378.50","378.50","","0.20%"
"09-05-2025","377.75","377.75","377.75","377.75","","0.73%"
"08-05-2025","375.00","375.00","375.00","375.00","","-0.73%"
"07-05-2025","377.75","377.75","377.75","377.75","","-0.26%"
"06-05-2025","378.75","378.75","378.75","378.75","","-0.33%"
"05-05-2025","380.00","380.00","380.00","380.00","","-0.07%"
"02-05-2025","380.25","380.25","380.25","380.25","","-0.78%"
"01-05-2025","383.25","383.25","383.25","383.25","","0.86%"
"30-04-2025","380.00","380.00","380.00","380.00","0.05K","-2.44%"
"29-04-2025","389.50","389.50","389.50","389.50","0.05K","-0.76%"
"28-04-2025","392.50","392.50","392.50","392.50","","1.29%"
"25-04-2025","387.50","387.50","387.50","387.50","","0.65%"
"24-04-2025","385.00","385.00","385.00","385.00","","0.00%"
"23-04-2025","385.00","385.00","385.00","385.00","","0.00%"
"22-04-2025","385.00","385.00","385.00","385.00","","0.00%"
"21-04-2025","385.00","385.00","385.00","385.00","","0.00%"
"17-04-2025","385.00","385.00","385.00","385.00","","0.65%"
"16-04-2025","382.50","382.50","382.50","382.50","","0.92%"
"15-04-2025","379.00","379.00","379.00","379.00","","0.00%"
"14-04-2025","379.00","379.00","379.00","379.00","","-0.26%"
"11-04-2025","380.00","380.00","380.00","380.00","","0.00%"
"10-04-2025","380.00","380.00","380.00","380.00","","0.00%"
"09-04-2025","380.00","380.00","380.00","380.00","","0.00%"
"08-04-2025","380.00","380.00","380.00","380.00","","-0.65%"
"04-04-2025","382.50","382.50","382.50","382.50","","0.66%"
"03-04-2025","380.00","380.00","380.00","380.00","","-0.65%"
"02-04-2025","382.50","382.50","382.50","382.50","","-0.39%"
"01-04-2025","384.00","384.00","384.00","384.00","","-0.26%"
"31-03-2025","385.00","385.00","385.00","385.00","0.05K","4.76%"
"28-03-2025","367.50","367.50","367.50","367.50","","-7.08%"
"27-03-2025","395.50","395.50","395.50","395.50","","0.00%"
"26-03-2025","395.50","395.50","395.50","395.50","","0.00%"
"25-03-2025","395.50","395.50","395.50","395.50","","0.25%"
"24-03-2025","394.50","394.50","394.50","394.50","","-0.25%"
"21-03-2025","395.50","395.50","395.50","395.50","","-0.88%"
"20-03-2025","399.00","399.00","399.00","399.00","","0.00%"
"19-03-2025","399.00","399.00","399.00","399.00","","0.00%"
"18-03-2025","399.00","399.00","399.00","399.00","","-0.25%"
"17-03-2025","400.00","400.00","400.00","400.00","","0.00%"
"14-03-2025","400.00","400.00","400.00","400.00","","0.00%"
"13-03-2025","400.00","400.00","400.00","400.00","","-0.62%"
"12-03-2025","402.50","402.50","402.50","402.50","","0.00%"
"11-03-2025","402.50","402.50","402.50","402.50","","0.00%"
"10-03-2025","402.50","402.50","402.50","402.50","","0.00%"
"07-03-2025","402.50","402.50","402.50","402.50","","-0.62%"
"06-03-2025","405.00","405.00","405.00","405.00","","0.62%"
"05-03-2025","402.50","402.50","402.50","402.50","","-0.86%"
"04-03-2025","406.00","406.00","406.00","406.00","","0.25%"
"03-03-2025","405.00","405.00","405.00","405.00","","1.25%"
"28-02-2025","400.00","400.00","400.00","400.00","","3.36%"
"30-01-2025","387.00","387.00","387.00","387.00","","1.71%"
"29-01-2025","380.50","380.50","380.50","380.50","","0.00%"
"28-01-2025","380.50","380.50","380.50","380.50","","0.00%"
"27-01-2025","380.50","380.50","380.50","380.50","","0.66%"
"24-01-2025","378.00","378.00","378.00","378.00","","0.00%"
"23-01-2025","378.00","378.00","378.00","378.00","","0.00%"
"22-01-2025","378.00","378.00","378.00","378.00","","0.00%"
"21-01-2025","378.00","378.00","378.00","378.00","","0.00%"
"17-01-2025","378.00","378.00","378.00","378.00","","0.00%"
"16-01-2025","378.00","378.00","378.00","378.00","","0.00%"
"15-01-2025","378.00","378.00","378.00","378.00","","0.53%"
"14-01-2025","376.00","376.00","376.00","376.00","","0.67%"
"13-01-2025","373.50","373.50","373.50","373.50","","0.40%"
"10-01-2025","372.00","372.00","372.00","372.00","0.05K","0.13%"
"09-01-2025","371.50","371.50","371.50","371.50","","-0.40%"
"08-01-2025","373.00","373.00","373.00","373.00","0.05K","1.36%"
"07-01-2025","368.00","368.00","368.00","368.00","0.05K","-0.27%"
"06-01-2025","369.00","369.00","369.00","369.00","","0.82%"
"03-01-2025","366.00","366.00","366.00","366.00","0.05K","-0.81%"
"02-01-2025","369.00","369.00","369.00","369.00","","0.00%"
"31-12-2024","369.00","369.00","369.00","369.00","","0.00%"
"30-12-2024","369.00","369.00","369.00","369.00","","0.00%"
"27-12-2024","369.00","369.00","369.00","369.00","","0.82%"
"26-12-2024","366.00","366.00","366.00","366.00","","0.00%"
"24-12-2024","366.00","366.00","366.00","366.00","","0.00%"
"23-12-2024","366.00","366.00","366.00","366.00","","0.97%"
"20-12-2024","362.50","362.50","362.50","362.50","","3.92%"
"19-12-2024","348.83","348.83","348.83","348.83","","0.38%"
"18-12-2024","347.50","347.50","347.50","347.50","","0.00%"
"17-12-2024","347.50","347.50","347.50","347.50","","0.00%"
"16-12-2024","347.50","347.50","347.50","347.50","","0.00%"
"13-12-2024","347.50","347.50","347.50","347.50","","-0.29%"
"12-12-2024","348.50","348.50","348.50","348.50","","0.00%"
"11-12-2024","348.50","348.50","348.50","348.50","","0.29%"
"10-12-2024","347.50","347.50","347.50","347.50","","0.00%"
"09-12-2024","347.50","347.50","347.50","347.50","","0.72%"
"06-12-2024","345.00","345.00","345.00","345.00","","0.00%"
"05-12-2024","345.00","345.00","345.00","345.00","","0.44%"
