"Date","Price","Open","High","Low","Vol.","Change %"
"15-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"14-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"13-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"12-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"11-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"08-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"07-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"06-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"05-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"04-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","0.03K","0.00%"
"01-02-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"31-01-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"30-01-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"29-01-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"28-01-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"25-01-2019","3,820.00","3,820.00","3,820.00","3,820.00","","0.00%"
"24-01-2019","3,820.00","3,820.00","3,820.00","3,820.00","","1.87%"
"23-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"22-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"21-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"18-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"17-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"16-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"15-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"14-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"11-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"10-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"09-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"08-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"07-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"04-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"03-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"02-01-2019","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"31-12-2018","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"28-12-2018","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"27-12-2018","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"24-12-2018","3,750.00","3,750.00","3,750.00","3,750.00","","0.00%"
"21-12-2018","3,750.00","3,750.00","3,750.00","3,750.00","","-1.32%"
"20-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"19-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"18-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"14-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"13-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"12-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"11-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"10-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"07-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"06-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"05-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"04-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"03-12-2018","3,800.00","3,800.00","3,800.00","3,800.00","","0.00%"
"30-11-2018","3,800.00","3,750.00","3,800.00","3,750.00","0.00K","2.70%"
"29-11-2018","3,700.00","3,700.00","3,700.00","3,700.00","","0.00%"
"28-11-2018","3,700.00","3,700.00","3,700.00","3,700.00","","0.00%"
"27-11-2018","3,700.00","3,700.00","3,700.00","3,700.00","","0.00%"
"26-11-2018","3,700.00","3,700.00","3,700.00","3,700.00","","0.00%"
"23-11-2018","3,700.00","3,700.00","3,700.00","3,700.00","","0.00%"
"22-11-2018","3,700.00","3,700.00","3,700.00","3,700.00","","0.00%"
"21-11-2018","3,700.00","3,700.00","3,700.00","3,700.00","","0.00%"
"20-11-2018","3,700.00","3,700.00","3,700.00","3,700.00","","0.00%"
"19-11-2018","3,700.00","3,700.00","3,700.00","3,700.00","0.00K","1.37%"
"16-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"15-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"14-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"13-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"12-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"09-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"08-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"07-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"06-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","0.00K","0.00%"
"05-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"02-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","","0.00%"
"01-11-2018","3,650.00","3,650.00","3,650.00","3,650.00","0.00K","0.00%"
"31-10-2018","3,650.00","3,650.00","3,650.00","3,650.00","0.00K","0.00%"
