"Date","Price","Open","High","Low","Vol.","Change %"
"2024/11/01","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/31","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/30","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/29","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/28","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/25","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/24","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/23","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/22","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/21","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/18","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/17","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/16","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/15","61,250.00","61,250.00","62,000.00","60,500.00","","0.00%"
"2024/10/14","61,250.00","61,250.00","62,000.00","60,500.00","","-2.39%"
"2024/10/11","62,750.00","62,750.00","63,500.00","62,000.00","","0.00%"
"2024/10/10","62,750.00","62,750.00","63,500.00","62,000.00","","0.00%"
"2024/10/09","62,750.00","62,750.00","63,500.00","62,000.00","","0.00%"
"2024/10/08","62,750.00","62,750.00","63,500.00","62,000.00","","0.00%"
"2024/09/27","62,750.00","62,750.00","63,500.00","62,000.00","","0.00%"
"2024/09/26","62,750.00","62,750.00","63,500.00","62,000.00","","0.00%"
"2024/09/25","62,750.00","62,750.00","63,500.00","62,000.00","","0.00%"
"2024/09/24","62,750.00","62,750.00","63,500.00","62,000.00","","-0.79%"
"2024/09/23","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/20","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/19","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/18","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/13","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/12","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/11","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/10","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/09","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/06","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/05","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/04","63,250.00","63,250.00","64,000.00","62,500.00","","0.00%"
"2024/09/03","63,250.00","63,250.00","64,000.00","62,500.00","","-0.47%"
"2024/09/02","63,550.00","63,550.00","64,300.00","62,800.00","","-0.31%"
"2024/08/30","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/29","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/28","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/27","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/26","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/23","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/22","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/21","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/20","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/19","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/16","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/15","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/14","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/13","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/12","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/09","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/08","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
"2024/08/07","63,750.00","63,750.00","64,500.00","63,000.00","","0.00%"
