"Date","Price","Open","High","Low","Vol.","Change %"
"27-03-2020","34.05","34.05","34.05","34.05","","0.00%"
"26-03-2020","34.05","34.05","34.05","34.05","","0.00%"
"25-03-2020","34.05","34.05","34.05","34.05","","0.00%"
"24-03-2020","34.05","34.05","34.05","34.05","","0.00%"
"23-03-2020","34.05","34.05","34.05","34.05","","0.00%"
"20-03-2020","34.05","34.05","34.05","34.05","","0.00%"
"19-03-2020","34.05","34.05","34.05","34.05","","0.00%"
"18-03-2020","34.05","34.05","34.05","34.05","","0.00%"
"17-03-2020","34.05","34.05","34.05","34.05","","0.00%"
"16-03-2020","34.05","34.05","34.05","34.05","","-5.55%"
"13-03-2020","36.05","36.05","36.05","36.05","","0.00%"
"12-03-2020","36.05","36.05","36.05","36.05","","0.00%"
"11-03-2020","36.05","36.05","36.05","36.05","","-2.70%"
"10-03-2020","37.05","37.05","37.05","37.05","","0.00%"
"09-03-2020","37.05","37.05","37.05","37.05","","-10.83%"
"06-03-2020","41.55","41.55","41.55","41.55","","-5.68%"
"05-03-2020","44.05","44.05","44.05","44.05","","-2.22%"
"04-03-2020","45.05","45.05","45.05","45.05","","0.00%"
"03-03-2020","45.05","45.05","45.05","45.05","","0.00%"
"02-03-2020","45.05","45.05","45.05","45.05","","0.00%"
"28-02-2020","45.05","45.05","45.05","45.05","","0.00%"
"27-02-2020","45.05","45.05","45.05","45.05","","0.00%"
"26-02-2020","45.05","45.05","45.05","45.05","","2.27%"
"25-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"24-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"21-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"20-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"19-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"18-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"17-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"14-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"13-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"12-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"11-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"10-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"07-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"06-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"05-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"04-02-2020","44.05","44.05","44.05","44.05","","0.00%"
"03-02-2020","44.05","44.05","44.05","44.05","","-4.34%"
"31-01-2020","46.05","46.05","46.05","46.05","","0.00%"
"30-01-2020","46.05","46.05","46.05","46.05","","0.00%"
"29-01-2020","46.05","46.05","46.05","46.05","","0.00%"
"28-01-2020","46.05","46.05","46.05","46.05","","0.00%"
"27-01-2020","46.05","46.05","46.05","46.05","","1.10%"
"24-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"23-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"22-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"21-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"20-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"17-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"16-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"15-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"14-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"13-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"10-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"09-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"08-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"07-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"06-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"03-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"02-01-2020","45.55","45.55","45.55","45.55","","0.00%"
"31-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"30-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"27-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"26-12-2019","45.55","45.55","45.55","45.55","","1.11%"
"24-12-2019","45.05","45.05","45.05","45.05","","0.00%"
"23-12-2019","45.05","45.05","45.05","45.05","","-1.10%"
"20-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"19-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"18-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"17-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"16-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"13-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"12-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"11-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"10-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"09-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"06-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"05-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"04-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"03-12-2019","45.55","45.55","45.55","45.55","","0.00%"
"02-12-2019","45.55","45.55","45.55","45.55","","-1.09%"
"29-11-2019","46.05","46.05","46.05","46.05","","0.00%"
"28-11-2019","46.05","46.05","46.05","46.05","","0.00%"
"27-11-2019","46.05","46.05","46.05","46.05","","0.00%"
"26-11-2019","46.05","46.05","46.05","46.05","","5.14%"
"25-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"22-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"21-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"20-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"19-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"18-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"15-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"14-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"13-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"12-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"11-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"08-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"07-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"06-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"05-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"04-11-2019","43.80","43.80","43.80","43.80","","0.00%"
"01-11-2019","43.80","43.80","43.80","43.80","","-1.68%"
"31-10-2019","44.55","44.55","44.55","44.55","","0.00%"
"30-10-2019","44.55","44.55","44.55","44.55","","0.00%"
"29-10-2019","44.55","44.55","44.55","44.55","","0.00%"
"28-10-2019","44.55","44.55","44.55","44.55","","1.14%"
"25-10-2019","44.05","44.05","44.05","44.05","","0.00%"
"24-10-2019","44.05","44.05","44.05","44.05","","0.00%"
"23-10-2019","44.05","44.05","44.05","44.05","","0.00%"
"22-10-2019","44.05","44.05","44.05","44.05","","0.00%"
"21-10-2019","44.05","44.05","44.05","44.05","","0.00%"
"18-10-2019","44.05","44.05","44.05","44.05","","0.00%"
"17-10-2019","44.05","44.05","44.05","44.05","","0.00%"
"16-10-2019","44.05","44.05","44.05","44.05","","0.00%"
"15-10-2019","44.05","44.05","44.05","44.05","","-1.12%"
"14-10-2019","44.55","44.55","44.55","44.55","","0.00%"
"11-10-2019","44.55","44.55","44.55","44.55","","0.00%"
"10-10-2019","44.55","44.55","44.55","44.55","","0.00%"
"09-10-2019","44.55","44.55","44.55","44.55","","0.00%"
"08-10-2019","44.55","44.55","44.55","44.55","","2.30%"
"07-10-2019","43.55","43.55","43.55","43.55","","0.00%"
"04-10-2019","43.55","43.55","43.55","43.55","","0.00%"
"03-10-2019","43.55","43.55","43.55","43.55","","0.00%"
"02-10-2019","43.55","43.55","43.55","43.55","","0.00%"
"01-10-2019","43.55","43.55","43.55","43.55","","0.00%"
"30-09-2019","43.55","43.55","43.55","43.55","","0.00%"
"27-09-2019","43.55","43.55","43.55","43.55","","0.00%"
"26-09-2019","43.55","43.55","43.55","43.55","","-1.14%"
"25-09-2019","44.05","44.05","44.05","44.05","","0.00%"
"24-09-2019","44.05","44.05","44.05","44.05","","0.00%"
"23-09-2019","44.05","44.05","44.05","44.05","","0.00%"
"20-09-2019","44.05","44.05","44.05","44.05","","-2.22%"
"19-09-2019","45.05","45.05","45.05","45.05","","0.00%"
"18-09-2019","45.05","45.05","45.05","45.05","","0.00%"
"17-09-2019","45.05","45.05","45.05","45.05","","0.00%"
"16-09-2019","45.05","45.05","45.05","45.05","","0.00%"
"13-09-2019","45.05","45.05","45.05","45.05","","0.00%"
"12-09-2019","45.05","45.05","45.05","45.05","","0.00%"
"11-09-2019","45.05","45.05","45.05","45.05","","-1.10%"
"10-09-2019","45.55","45.55","45.55","45.55","","0.00%"
"09-09-2019","45.55","45.55","45.55","45.55","","0.00%"
"06-09-2019","45.55","45.55","45.55","45.55","","-1.09%"
"05-09-2019","46.05","46.05","46.05","46.05","","-1.07%"
"04-09-2019","46.55","46.55","46.55","46.55","","0.00%"
"03-09-2019","46.55","46.55","46.55","46.55","","0.00%"
"02-09-2019","46.55","46.55","46.55","46.55","","0.00%"
"30-08-2019","46.55","46.55","46.55","46.55","","0.00%"
"29-08-2019","46.55","46.55","46.55","46.55","","-2.62%"
"28-08-2019","47.80","47.80","47.80","47.80","","0.00%"
"27-08-2019","47.80","47.80","47.80","47.80","","0.00%"
"26-08-2019","47.80","47.80","47.80","47.80","","0.00%"
"23-08-2019","47.80","47.80","47.80","47.80","","-0.52%"
"22-08-2019","48.05","48.05","48.05","48.05","","0.00%"
"21-08-2019","48.05","48.05","48.05","48.05","","-1.54%"
"20-08-2019","48.80","48.80","48.80","48.80","","0.00%"
"19-08-2019","48.80","48.80","48.80","48.80","","0.00%"
"16-08-2019","48.80","48.80","48.80","48.80","","0.00%"
"15-08-2019","48.80","48.80","48.80","48.80","","-3.46%"
"14-08-2019","50.55","50.55","50.55","50.55","","-1.94%"
"13-08-2019","51.55","51.55","51.55","51.55","","-3.73%"
"12-08-2019","53.55","53.55","53.55","53.55","","0.00%"
"09-08-2019","53.55","53.55","53.55","53.55","","0.00%"
"08-08-2019","53.55","53.55","53.55","53.55","","0.00%"
"07-08-2019","53.55","53.55","53.55","53.55","","0.00%"
"06-08-2019","53.55","53.55","53.55","53.55","","0.00%"
"05-08-2019","53.55","53.55","53.55","53.55","","-0.46%"
"02-08-2019","53.80","53.80","53.80","53.80","","0.00%"
"01-08-2019","53.80","53.80","53.80","53.80","","0.00%"
"31-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"30-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"29-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"26-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"25-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"24-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"23-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"22-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"19-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"18-07-2019","53.80","53.80","53.80","53.80","","0.00%"
"17-07-2019","53.80","53.80","53.80","53.80","","0.00%"
