"Date","Price","Open","High","Low","Vol.","Change %"
"10-11-2020","0.8301","0.8319","0.8387","0.8260","","-0.21%"
"09-11-2020","0.8319","0.8417","0.8593","0.8060","","-1.16%"
"08-11-2020","0.8417","0.8061","0.8498","0.8012","","4.42%"
"07-11-2020","0.8061","0.8457","0.8547","0.7874","","-4.68%"
"06-11-2020","0.8457","0.8447","0.8627","0.8259","","0.11%"
"05-11-2020","0.8447","0.7680","0.8516","0.7661","","9.99%"
"04-11-2020","0.7680","0.7614","0.7733","0.7362","","0.88%"
"03-11-2020","0.7614","0.7364","0.7632","0.7227","","3.39%"
"02-11-2020","0.7364","0.7469","0.7512","0.7180","","-1.41%"
"01-11-2020","0.7469","0.7487","0.7541","0.7397","","-0.23%"
"31-10-2020","0.7487","0.7365","0.7610","0.7293","","1.65%"
"30-10-2020","0.7365","0.7299","0.7424","0.7129","","0.90%"
"29-10-2020","0.7299","0.7206","0.7398","0.7047","","1.29%"
"28-10-2020","0.7206","0.7403","0.7513","0.7021","","-2.77%"
"27-10-2020","0.7412","0.7092","0.7475","0.7089","","4.52%"
"26-10-2020","0.7092","0.7076","0.7186","0.6949","","0.22%"
"25-10-2020","0.7076","0.7129","0.7253","0.7013","","-0.74%"
"24-10-2020","0.7129","0.7023","0.7154","0.6996","","1.51%"
"23-10-2020","0.7023","0.7052","0.7075","0.6920","","-0.41%"
"22-10-2020","0.7052","0.6970","0.7160","0.6902","","1.18%"
"21-10-2020","0.6970","0.6475","0.7177","0.6467","","7.64%"
"20-10-2020","0.6475","0.6384","0.6534","0.6353","","1.43%"
"19-10-2020","0.6384","0.6254","0.6419","0.6200","","2.07%"
"18-10-2020","0.6254","0.6177","0.6254","0.6172","","1.26%"
"17-10-2020","0.6177","0.6149","0.6197","0.6131","","0.44%"
"16-10-2020","0.6149","0.6248","0.6269","0.6100","","-1.57%"
"15-10-2020","0.6248","0.6211","0.6309","0.6129","","0.59%"
"14-10-2020","0.6211","0.6214","0.6277","0.6142","","-0.03%"
"13-10-2020","0.6214","0.6277","0.6285","0.6154","","-1.02%"
"12-10-2020","0.6277","0.6181","0.6371","0.6098","","1.56%"
"11-10-2020","0.6181","0.6140","0.6214","0.6134","","0.67%"
"10-10-2020","0.6140","0.6012","0.6233","0.6012","","2.13%"
"09-10-2020","0.6012","0.5946","0.6038","0.5893","","1.11%"
"08-10-2020","0.5946","0.5803","0.5947","0.5728","","2.47%"
"07-10-2020","0.5803","0.5763","0.5804","0.5736","","0.68%"
"06-10-2020","0.5763","0.5868","0.5875","0.5728","","-1.78%"
"05-10-2020","0.5868","0.5803","0.5868","0.5776","","1.12%"
"04-10-2020","0.5803","0.5733","0.5816","0.5724","","1.21%"
"03-10-2020","0.5733","0.5745","0.5762","0.5710","","-0.21%"
"02-10-2020","0.5745","0.5767","0.5792","0.5647","","-0.37%"
"01-10-2020","0.5767","0.6153","0.6403","0.5702","","-6.28%"
"30-09-2020","0.6153","0.5666","0.6338","0.5650","","8.61%"
"29-09-2020","0.5666","0.5567","0.5836","0.5437","","1.78%"
"28-09-2020","0.5567","0.5241","0.5655","0.5241","","6.22%"
"27-09-2020","0.5241","0.4500","0.5243","0.4397","","16.46%"
"26-09-2020","0.4500","0.5306","0.5323","0.4363","","-15.18%"
"25-09-2020","0.5306","0.5384","0.5396","0.5269","","-1.43%"
"24-09-2020","0.5383","0.4881","0.5408","0.4868","","10.30%"
"23-09-2020","0.4881","0.4899","0.5103","0.4867","","-0.38%"
"22-09-2020","0.4899","0.4842","0.4908","0.4786","","1.18%"
"21-09-2020","0.4842","0.5107","0.5162","0.4798","","-5.18%"
"20-09-2020","0.5107","0.5088","0.5157","0.4993","","0.36%"
"19-09-2020","0.5088","0.5056","0.5343","0.4805","","0.64%"
"18-09-2020","0.5056","0.4784","0.5240","0.4687","","5.68%"
"17-09-2020","0.4784","0.4665","0.4856","0.4600","","2.51%"
"16-09-2020","0.4667","0.4160","0.4816","0.4141","","12.19%"
"15-09-2020","0.4160","0.4504","0.4594","0.3998","","-7.63%"
"14-09-2020","0.4504","0.4314","0.4607","0.4228","","4.40%"
"13-09-2020","0.4314","0.4613","0.4674","0.4212","","-6.48%"
"12-09-2020","0.4613","0.4815","0.4815","0.4393","","-4.19%"
"11-09-2020","0.4815","0.4746","0.4815","0.4459","","1.45%"
"10-09-2020","0.4746","0.4218","0.5038","0.4215","","12.51%"
"09-09-2020","0.4218","0.4137","0.4353","0.4064","","1.96%"
"08-09-2020","0.4137","0.4283","0.4309","0.4048","","-3.42%"
"07-09-2020","0.4283","0.4767","0.4793","0.4086","","-10.14%"
"06-09-2020","0.4767","0.4719","0.4809","0.4647","","1.02%"
"05-09-2020","0.4719","0.4858","0.4903","0.4588","","-2.87%"
"04-09-2020","0.4858","0.4719","0.4923","0.4651","","2.95%"
"03-09-2020","0.4719","0.5298","0.5321","0.4651","","-10.92%"
"02-09-2020","0.5298","0.5541","0.5555","0.5208","","-4.40%"
"01-09-2020","0.5541","0.5414","0.5599","0.5367","","2.36%"
"31-08-2020","0.5414","0.5440","0.5465","0.5372","","-0.48%"
"30-08-2020","0.5440","0.5333","0.5440","0.5329","","1.99%"
"29-08-2020","0.5333","0.5361","0.5384","0.5316","","-0.52%"
"28-08-2020","0.5361","0.5265","0.5363","0.5246","","1.83%"
"27-08-2020","0.5265","0.5319","0.5380","0.5171","","-1.02%"
"26-08-2020","0.5319","0.5266","0.5357","0.5227","","1.01%"
"25-08-2020","0.5266","0.5466","0.5472","0.5177","","-3.66%"
"24-08-2020","0.5466","0.5408","0.5494","0.5382","","1.07%"
"23-08-2020","0.5408","0.5419","0.5438","0.5357","","-0.21%"
"22-08-2020","0.5419","0.5358","0.5424","0.5293","","1.14%"
"21-08-2020","0.5358","0.5513","0.5522","0.5344","","-2.81%"
"20-08-2020","0.5513","0.5454","0.5524","0.5419","","1.09%"
"19-08-2020","0.5454","0.5552","0.5579","0.5400","","-1.77%"
"18-08-2020","0.5552","0.5706","0.5756","0.5505","","-2.70%"
"17-08-2020","0.5706","0.5537","0.5779","0.5474","","3.06%"
"16-08-2020","0.5537","0.5510","0.5539","0.5431","","0.49%"
"15-08-2020","0.5510","0.5467","0.5562","0.5451","","0.78%"
"14-08-2020","0.5467","0.5473","0.5502","0.5406","","-0.11%"
"13-08-2020","0.5473","0.5370","0.5475","0.5240","","1.92%"
"12-08-2020","0.5370","0.5298","0.5394","0.5210","","1.36%"
"11-08-2020","0.5298","0.5519","0.5540","0.5177","","-4.01%"
"10-08-2020","0.5519","0.5433","0.5593","0.5362","","1.58%"
"09-08-2020","0.5433","0.5468","0.5483","0.5360","","-0.63%"
"08-08-2020","0.5468","0.5391","0.5486","0.5362","","1.42%"
"07-08-2020","0.5391","0.5459","0.5528","0.5265","","-1.25%"
"06-08-2020","0.5459","0.5451","0.5524","0.5378","","0.15%"
"05-08-2020","0.5451","0.5199","0.5472","0.5167","","4.86%"
"04-08-2020","0.5199","0.5214","0.5301","0.5141","","-0.29%"
"03-08-2020","0.5214","0.5141","0.5324","0.5103","","1.41%"
"02-08-2020","0.5141","0.5488","0.5619","0.4954","","-6.32%"
"01-08-2020","0.5488","0.5268","0.5508","0.5217","","4.17%"
"31-07-2020","0.5268","0.5153","0.5315","0.5093","","2.23%"
"30-07-2020","0.5153","0.5159","0.5184","0.5042","","-0.11%"
"29-07-2020","0.5159","0.5151","0.5167","0.5141","","1.78%"
"28-07-2020","0.5069","0.5122","0.5218","0.4923","","-1.05%"
"27-07-2020","0.5122","0.4615","0.5280","0.4609","","11.00%"
"26-07-2020","0.4615","0.4502","0.4691","0.4482","","2.50%"
"25-07-2020","0.4502","0.4430","0.4519","0.4422","","1.63%"
"24-07-2020","0.4430","0.4464","0.4471","0.4397","","-0.76%"
"23-07-2020","0.4464","0.4423","0.4484","0.4393","","0.93%"
"22-07-2020","0.4423","0.4363","0.4428","0.4320","","1.37%"
"21-07-2020","0.4363","0.4253","0.4378","0.4251","","2.58%"
"20-07-2020","0.4253","0.4275","0.4281","0.4246","","-0.50%"
"19-07-2020","0.4275","0.4257","0.4285","0.4229","","0.42%"
"18-07-2020","0.4257","0.4251","0.4272","0.4236","","0.14%"
"17-07-2020","0.4251","0.4241","0.4264","0.4221","","0.24%"
"16-07-2020","0.4241","0.4277","0.4288","0.4208","","-0.84%"
"15-07-2020","0.4277","0.4302","0.4310","0.4261","","-0.60%"
"14-07-2020","0.4302","0.4292","0.4311","0.4241","","0.24%"
"13-07-2020","0.4292","0.4319","0.4333","0.4276","","-0.63%"
"12-07-2020","0.4319","0.4290","0.4332","0.4258","","0.68%"
"11-07-2020","0.4290","0.4317","0.4322","0.4268","","-0.63%"
"10-07-2020","0.4317","0.4294","0.4325","0.4247","","0.54%"
"09-07-2020","0.4294","0.4385","0.4388","0.4264","","-2.07%"
"08-07-2020","0.4385","0.4299","0.4396","0.4288","","2.00%"
"07-07-2020","0.4299","0.4338","0.4352","0.4278","","-0.90%"
"06-07-2020","0.4338","0.4222","0.4350","0.4210","","2.74%"
"05-07-2020","0.4222","0.4245","0.4252","0.4156","","-0.54%"
"04-07-2020","0.4245","0.4213","0.4267","0.4203","","0.75%"
"03-07-2020","0.4213","0.4218","0.4235","0.4205","","-0.12%"
"02-07-2020","0.4218","0.4292","0.4300","0.4157","","-1.72%"
"01-07-2020","0.4292","0.4246","0.4316","0.4231","","1.08%"
"30-06-2020","0.4246","0.4266","0.4274","0.4218","","-0.46%"
"29-06-2020","0.4266","0.4242","0.4290","0.4198","","0.55%"
"28-06-2020","0.4242","0.4188","0.4267","0.4158","","1.31%"
"27-06-2020","0.4188","0.4254","0.4271","0.4119","","-1.57%"
"26-06-2020","0.4254","0.4294","0.4320","0.4210","","-0.92%"
"25-06-2020","0.4294","0.4322","0.4334","0.4188","","-0.66%"
"24-06-2020","0.4322","0.4476","0.4494","0.4282","","-3.43%"
"23-06-2020","0.4476","0.4500","0.4515","0.4449","","-0.54%"
"22-06-2020","0.4500","0.4316","0.4534","0.4313","","4.26%"
"21-06-2020","0.4316","0.4349","0.4369","0.4315","","-0.76%"
"20-06-2020","0.4349","0.4329","0.4366","0.4287","","0.47%"
"19-06-2020","0.4329","0.4358","0.4379","0.4294","","-0.67%"
"18-06-2020","0.4358","0.4394","0.4401","0.4315","","-0.81%"
"17-06-2020","0.4394","0.4429","0.4435","0.4308","","-0.78%"
"16-06-2020","0.4429","0.4379","0.4451","0.4359","","1.12%"
"15-06-2020","0.4379","0.4338","0.4408","0.4152","","0.96%"
"14-06-2020","0.4338","0.4401","0.4406","0.4306","","-1.44%"
"13-06-2020","0.4401","0.4401","0.4412","0.4356","","0.00%"
"12-06-2020","0.4401","0.4321","0.4437","0.4299","","1.84%"
"11-06-2020","0.4321","0.4589","0.4622","0.4252","","-5.83%"
"10-06-2020","0.4589","0.4541","0.4635","0.4511","","1.06%"
"09-06-2020","0.4541","0.4543","0.4583","0.4455","","-0.05%"
"08-06-2020","0.4543","0.4526","0.4550","0.4483","","0.37%"
"07-06-2020","0.4526","0.4495","0.4550","0.4368","","0.69%"
"06-06-2020","0.4495","0.4477","0.4521","0.4432","","0.40%"
"05-06-2020","0.4477","0.4548","0.4574","0.4473","","-1.56%"
"04-06-2020","0.4548","0.4489","0.4582","0.4403","","1.32%"
"03-06-2020","0.4489","0.4430","0.4499","0.4386","","1.33%"
"02-06-2020","0.4430","0.4736","0.4743","0.4347","","-6.47%"
"01-06-2020","0.4736","0.4396","0.4792","0.4383","","7.74%"
"31-05-2020","0.4396","0.4502","0.4503","0.4373","","-2.34%"
"30-05-2020","0.4502","0.4377","0.4518","0.4345","","2.85%"
