"Date","Price","Open","High","Low","Vol.","Change %"
"16-03-2018","1,300","1,300","1,300","1,300","0.10K","8.33%"
"02-03-2018","1,200","1,200","1,200","1,200","0.10K","9.09%"
"23-02-2018","1,100","1,100","1,100","1,100","0.11K","10.00%"
"02-02-2018","1,000","1,000","1,000","1,000","0.20K","0.00%"
"26-01-2018","1,000","1,000","1,000","1,000","0.50K","0.00%"
"12-01-2018","1,000","1,000","1,000","1,000","1.00K","11.11%"
"05-01-2018","900","900","900","900","1.00K","12.50%"
"29-12-2017","800","800","800","800","2.50K","14.29%"
"22-12-2017","700","700","700","700","0.10K","16.67%"
"15-12-2017","600","600","600","600","0.20K","20.00%"
"08-12-2017","500","500","500","500","0.10K","0.00%"
"01-12-2017","500","500","500","500","0.11K","-16.67%"
"17-11-2017","600","600","600","600","1.40K","0.00%"
"03-11-2017","600","600","600","600","0.10K","-14.29%"
"27-10-2017","700","700","700","700","6.81K","-12.50%"
"20-10-2017","800","800","800","800","25.81K","-11.11%"
"13-10-2017","900","900","900","900","10.10K","-10.00%"
"15-09-2017","1,000","1,000","1,000","1,000","1.00K","11.11%"
"18-08-2017","900","900","900","900","1.20K","0.00%"
"11-08-2017","900","900","900","900","15.51K","-10.00%"
"04-08-2017","1,000","1,000","1,000","1,000","15.32K","-9.09%"
"07-07-2017","1,100","1,000","1,100","1,000","0.20K","0.00%"
"30-06-2017","1,100","1,100","1,100","1,100","0.10K","10.00%"
"23-06-2017","1,000","1,000","1,000","1,000","1.00K","11.11%"
"15-06-2017","900","1,000","1,000","900","0.60K","-18.18%"
"09-06-2017","1,100","1,000","1,100","1,000","3.30K","0.00%"
"08-06-2017","1,100","1,100","1,100","1,100","0.50K","0.00%"
"07-06-2017","1,100","1,000","1,100","1,000","3.40K","10.00%"
"05-06-2017","1,000","1,000","1,000","1,000","0.70K","-9.09%"
"02-06-2017","1,100","1,000","1,100","1,000","0.50K","10.00%"
"01-06-2017","1,000","800","1,000","800","0.50K","11.11%"
"30-05-2017","900","1,000","1,000","900","0.70K","-10.00%"
"25-05-2017","1,000","1,000","1,000","1,000","0.13K","-9.09%"
"24-05-2017","1,100","1,100","1,100","1,100","0.81K","0.00%"
"23-05-2017","1,100","900","1,100","900","3.10K","10.00%"
"22-05-2017","1,000","900","1,000","900","7.70K","11.11%"
"18-05-2017","900","900","900","900","5.10K","12.50%"
"17-05-2017","800","900","900","800","3.70K","-20.00%"
"16-05-2017","1,000","800","1,000","800","0.30K","11.11%"
"15-05-2017","900","900","900","900","5.80K","12.50%"
"12-05-2017","800","800","800","800","2.00K","-11.11%"
"11-05-2017","900","800","900","800","0.60K","12.50%"
"10-05-2017","800","800","800","800","3.60K","-11.11%"
"09-05-2017","900","1,000","1,000","900","5.71K","0.00%"
"08-05-2017","900","800","1,000","800","1.10K","0.00%"
"05-05-2017","900","900","900","900","0.69K","0.00%"
"27-04-2017","900","900","900","900","0.30K","-10.00%"
"21-04-2017","1,000","1,000","1,000","1,000","0.10K","11.11%"
"20-04-2017","900","900","900","900","0.30K","12.50%"
"19-04-2017","800","800","900","800","3.00K","-11.11%"
"18-04-2017","900","900","900","900","0.20K","-10.00%"
"14-04-2017","1,000","1,000","1,000","800","2.40K","11.11%"
"13-04-2017","900","900","900","900","0.11K","0.00%"
"12-04-2017","900","900","900","800","1.40K","12.50%"
"11-04-2017","800","800","800","800","4.50K","-11.11%"
"10-04-2017","900","1,000","1,000","900","3.60K","-10.00%"
"07-04-2017","1,000","1,000","1,000","1,000","2.80K","-9.09%"
"05-04-2017","1,100","1,100","1,100","1,000","0.70K","10.00%"
"04-04-2017","1,000","1,000","1,100","1,000","6.00K","-9.09%"
"31-03-2017","1,100","1,100","1,100","1,000","0.40K","0.00%"
"30-03-2017","1,100","1,100","1,100","1,100","9.20K","10.00%"
"29-03-2017","1,000","1,000","1,000","1,000","1.40K","0.00%"
"28-03-2017","1,000","900","1,000","900","5.10K","0.00%"
"27-03-2017","1,000","1,000","1,000","1,000","4.30K","11.11%"
"24-03-2017","900","1,000","1,000","900","1.20K","-10.00%"
"23-03-2017","1,000","1,100","1,100","1,000","6.90K","-9.09%"
"17-03-2017","1,100","1,100","1,100","1,100","2.00K","10.00%"
"16-03-2017","1,000","800","1,000","800","2.72K","11.11%"
"15-03-2017","900","900","900","900","2.50K","-10.00%"
"14-03-2017","1,000","1,000","1,000","900","1.70K","0.00%"
"13-03-2017","1,000","1,000","1,000","1,000","0.70K","-9.09%"
"10-03-2017","1,100","1,200","1,200","1,100","2.15K","10.00%"
"09-03-2017","1,000","1,000","1,100","1,000","2.20K","11.11%"
"08-03-2017","900","1,000","1,000","900","2.08K","0.00%"
"07-03-2017","900","900","900","800","2.10K","12.50%"
"06-03-2017","800","800","800","800","2.81K","0.00%"
"03-03-2017","800","800","800","800","0.80K","14.29%"
"02-03-2017","700","700","700","700","0.20K","-12.50%"
"27-02-2017","800","800","800","800","0.20K","0.00%"
"23-02-2017","800","800","800","800","0.90K","-11.11%"
"22-02-2017","900","1,100","1,100","900","3.81K","-10.00%"
"20-02-2017","1,000","1,000","1,000","900","2.35K","11.11%"
"15-02-2017","900","900","900","900","0.90K","12.50%"
"14-02-2017","800","800","800","700","1.80K","14.29%"
"13-02-2017","700","800","800","700","1.50K","0.00%"
"10-02-2017","700","700","700","700","1.00K","-12.50%"
"10-01-2017","800","800","800","800","0.20K","14.29%"
"09-01-2017","700","700","700","700","0.20K","-12.50%"
"26-12-2016","800","800","800","800","0.50K","-11.11%"
"22-12-2016","900","900","900","900","0.50K","0.00%"
"19-12-2016","900","900","900","900","0.40K","-10.00%"
"15-12-2016","1,000","1,000","1,000","1,000","2.70K","11.11%"
"13-12-2016","900","900","900","900","1.00K","-10.00%"
"08-12-2016","1,000","1,000","1,000","1,000","0.40K","-9.09%"
"28-11-2016","1,100","1,100","1,100","1,100","0.10K","10.00%"
"22-11-2016","1,000","1,000","1,000","1,000","0.10K","11.11%"
"11-11-2016","900","900","900","900","5.00K","-10.00%"
"31-10-2016","1,000","1,000","1,000","1,000","1.00K","11.11%"
"27-10-2016","900","900","900","900","4.00K","12.50%"
"20-10-2016","800","800","800","800","1.50K","0.00%"
"18-10-2016","800","800","800","800","1.00K","-11.11%"
"14-10-2016","900","900","900","900","1.60K","0.00%"
"12-10-2016","900","900","900","900","0.30K","0.00%"
"11-10-2016","900","900","900","900","0.10K","12.50%"
"05-10-2016","800","800","800","800","3.00K","0.00%"
"26-09-2016","800","800","800","800","1.00K","-11.11%"
"12-09-2016","900","900","900","900","0.10K","12.50%"
"26-08-2016","800","800","800","800","0.10K","-11.11%"
"23-08-2016","900","900","900","900","0.50K","12.50%"
"12-08-2016","800","800","800","800","0.20K","0.00%"
"10-08-2016","800","800","800","800","0.10K","-11.11%"
"02-08-2016","900","900","900","900","0.80K","-10.00%"
"29-07-2016","1,000","1,000","1,000","1,000","1.10K","-37.50%"
"20-06-2016","1,600","1,600","1,600","1,600","0.10K","14.29%"
"16-06-2016","1,400","1,400","1,400","1,400","0.10K","7.69%"
"15-06-2016","1,300","1,300","1,300","1,300","1.00K","-7.14%"
"10-06-2016","1,400","1,200","1,400","1,200","0.30K","7.69%"
"07-06-2016","1,300","1,300","1,300","1,300","0.60K","8.33%"
"06-06-2016","1,200","1,200","1,200","1,200","1.50K","0.00%"
"02-06-2016","1,200","1,200","1,200","1,200","0.30K","0.00%"
"31-05-2016","1,200","1,100","1,200","1,100","1.80K","0.00%"
"30-05-2016","1,200","1,100","1,200","1,100","3.00K","0.00%"
"27-05-2016","1,200","1,200","1,200","1,200","0.90K","-7.69%"
"25-05-2016","1,300","1,300","1,300","1,300","0.10K","0.00%"
"24-05-2016","1,300","1,300","1,300","1,300","0.90K","0.00%"
"23-05-2016","1,300","1,300","1,300","1,300","0.80K","8.33%"
"20-05-2016","1,200","1,200","1,200","1,200","2.90K","-7.69%"
"16-05-2016","1,300","1,300","1,300","1,300","0.20K","8.33%"
"13-05-2016","1,200","1,200","1,200","1,200","0.20K","0.00%"
"12-05-2016","1,200","1,200","1,200","1,200","2.30K","-25.00%"
"11-05-2016","1,600","1,200","1,600","1,200","5.00K","14.29%"
"10-05-2016","1,400","1,400","1,400","1,400","1.00K","-12.50%"
"06-05-2016","1,600","1,700","1,700","1,600","2.00K","-11.11%"
"05-05-2016","1,800","1,800","1,800","1,800","3.80K","5.88%"
"04-05-2016","1,700","1,700","1,700","1,700","0.30K","0.00%"
"25-04-2016","1,700","1,700","1,700","1,700","0.20K","-5.56%"
"19-04-2016","1,800","1,800","1,800","1,800","0.10K","5.88%"
"12-04-2016","1,700","1,800","1,800","1,700","30.30K","-10.53%"
"11-04-2016","1,900","2,400","2,400","1,900","20.30K","5.56%"
"08-04-2016","1,800","2,300","2,300","1,800","20.90K","-14.29%"
"07-04-2016","2,100","2,300","2,300","1,900","0.60K","5.00%"
"06-04-2016","2,000","2,100","2,100","2,000","0.20K","5.26%"
