Date,Price
2000-01-03,146.4
2000-01-04,147.9
2000-01-05,150.7
2000-01-06,149.1
2000-01-07,149.1
2000-01-10,147.7
2000-01-11,148.8
2000-01-12,150.9
2000-01-13,153.8
2000-01-14,155.0
2000-01-17,
2000-01-18,159.4
2000-01-19,159.3
2000-01-20,162.0
2000-01-21,162.3
2000-01-24,164.1
2000-01-25,165.3
2000-01-26,163.5
2000-01-27,166.8
2000-01-28,165.4
2000-01-31,161.0
2000-02-01,161.8
2000-02-02,162.1
2000-02-03,159.7
2000-02-04,162.7
2000-02-07,162.1
2000-02-08,160.5
2000-02-09,162.4
2000-02-10,167.0
2000-02-11,164.2
2000-02-14,164.5
2000-02-15,166.3
2000-02-16,164.9
2000-02-17,166.8
2000-02-18,168.6
2000-02-21,
2000-02-22,167.6
2000-02-23,161.9
2000-02-24,163.7
2000-02-25,161.3
2000-02-28,162.7
2000-02-29,163.5
2000-03-01,162.4
2000-03-02,164.9
2000-03-03,164.9
2000-03-06,167.1
2000-03-07,165.0
2000-03-08,167.0
2000-03-09,167.3
2000-03-10,165.8
2000-03-13,171.6
2000-03-14,171.9
2000-03-15,170.0
2000-03-16,170.0
2000-03-17,171.8
2000-03-20,167.7
2000-03-21,169.4
2000-03-22,170.4
2000-03-23,168.3
2000-03-24,170.1
2000-03-27,169.2
2000-03-28,167.7
2000-03-29,167.7
2000-03-30,170.8
2000-03-31,172.2
2000-04-03,172.2
2000-04-04,168.5
2000-04-05,170.6
2000-04-06,168.2
2000-04-07,170.9
2000-04-10,169.3
2000-04-11,167.8
2000-04-12,170.9
2000-04-13,169.8
2000-04-14,168.1
2000-04-17,167.8
2000-04-18,168.2
2000-04-19,168.7
2000-04-20,169.2
2000-04-21,
2000-04-24,173.4
2000-04-25,173.8
2000-04-26,175.1
2000-04-27,173.8
2000-04-28,171.7
2000-05-01,181.6
2000-05-02,181.2
2000-05-03,184.1
2000-05-04,184.8
2000-05-05,185.1
2000-05-08,184.4
2000-05-09,183.5
2000-05-10,189.7
2000-05-11,189.6
2000-05-12,188.1
2000-05-15,183.1
2000-05-16,181.7
2000-05-17,179.7
2000-05-18,181.6
2000-05-19,183.6
2000-05-22,183.8
2000-05-23,181.8
2000-05-24,179.1
2000-05-25,174.6
2000-05-26,178.4
2000-05-29,
2000-05-30,175.3
2000-05-31,176.7
2000-06-01,177.4
2000-06-02,179.7
2000-06-05,180.3
2000-06-06,180.8
2000-06-07,178.3
2000-06-08,177.6
2000-06-09,179.7
2000-06-12,175.3
2000-06-13,176.8
2000-06-14,174.4
2000-06-15,173.8
2000-06-16,170.9
2000-06-19,170.8
2000-06-20,169.1
2000-06-21,171.0
2000-06-22,170.0
2000-06-23,170.2
2000-06-26,169.9
2000-06-27,170.4
2000-06-28,168.6
2000-06-29,169.9
2000-06-30,166.9
2000-07-03,163.9
2000-07-04,
2000-07-05,166.6
2000-07-06,165.9
2000-07-07,168.1
2000-07-10,167.8
2000-07-11,168.3
2000-07-12,169.6
2000-07-13,171.1
2000-07-14,165.2
2000-07-17,156.6
2000-07-18,156.4
2000-07-19,153.5
2000-07-20,153.4
