Date,Price
2000-01-03,274.25
2000-01-04,274.0
2000-01-05,276.25
2000-01-06,275.0
2000-01-07,277.75
2000-01-10,279.75
2000-01-11,280.0
2000-01-12,285.75
2000-01-13,290.0
2000-01-14,293.0
2000-01-17,
2000-01-18,292.0
2000-01-19,293.5
2000-01-20,292.75
2000-01-21,293.0
2000-01-24,294.5
2000-01-25,293.5
2000-01-26,288.25
2000-01-27,290.75
2000-01-28,287.75
2000-01-31,283.5
2000-02-01,285.0
2000-02-02,285.0
2000-02-03,281.25
2000-02-04,284.75
2000-02-07,286.75
2000-02-08,287.25
2000-02-09,293.25
2000-02-10,301.25
2000-02-11,298.5
2000-02-14,299.25
2000-02-15,296.5
2000-02-16,295.75
2000-02-17,293.25
2000-02-18,294.75
2000-02-21,
2000-02-22,293.25
2000-02-23,286.25
2000-02-24,286.0
2000-02-25,277.0
2000-02-28,273.5
2000-02-29,276.25
2000-03-01,276.25
2000-03-02,275.0
2000-03-03,275.75
2000-03-06,277.5
2000-03-07,277.75
2000-03-08,279.5
2000-03-09,284.0
2000-03-10,283.0
2000-03-13,282.5
2000-03-14,290.25
2000-03-15,289.0
2000-03-16,287.0
2000-03-17,288.5
2000-03-20,288.0
2000-03-21,283.0
2000-03-22,280.25
2000-03-23,280.25
2000-03-24,278.0
2000-03-27,279.5
2000-03-28,274.5
2000-03-29,276.0
2000-03-30,280.0
2000-03-31,286.5
2000-04-03,284.0
2000-04-04,282.0
2000-04-05,281.75
2000-04-06,280.25
2000-04-07,283.5
2000-04-10,277.75
2000-04-11,275.75
2000-04-12,278.5
2000-04-13,280.75
2000-04-14,280.0
2000-04-17,278.75
2000-04-18,278.25
2000-04-19,279.25
2000-04-20,279.5
2000-04-21,
2000-04-24,280.0
2000-04-25,279.5
2000-04-26,275.0
2000-04-27,270.75
2000-04-28,271.0
2000-05-01,279.25
2000-05-02,281.0
2000-05-03,283.5
2000-05-04,289.0
2000-05-05,286.0
2000-05-08,281.5
2000-05-09,282.0
2000-05-10,288.25
2000-05-11,294.0
2000-05-12,297.5
2000-05-15,294.0
2000-05-16,295.5
2000-05-17,293.0
2000-05-18,287.0
2000-05-19,291.0
2000-05-22,305.0
2000-05-23,307.25
2000-05-24,305.0
2000-05-25,307.0
2000-05-26,307.0
2000-05-29,
2000-05-30,302.25
2000-05-31,304.25
2000-06-01,298.25
2000-06-02,299.25
2000-06-05,295.0
2000-06-06,297.75
2000-06-07,296.25
2000-06-08,298.75
2000-06-09,299.75
2000-06-12,297.0
2000-06-13,298.5
2000-06-14,296.0
2000-06-15,296.0
2000-06-16,296.25
2000-06-19,301.0
2000-06-20,307.25
2000-06-21,310.5
2000-06-22,311.5
2000-06-23,307.25
2000-06-26,311.25
2000-06-27,311.5
2000-06-28,309.5
2000-06-29,310.75
2000-06-30,302.0
2000-07-03,287.25
2000-07-04,
2000-07-05,289.75
2000-07-06,287.0
2000-07-07,287.0
2000-07-10,288.5
2000-07-11,287.0
2000-07-12,283.0
2000-07-13,287.5
2000-07-14,283.0
2000-07-17,277.0
2000-07-18,274.0
2000-07-19,274.5
2000-07-20,276.5
2000-07-21,284.75
2000-07-24,281.75
2000-07-25,281.25
2000-07-26,280.25
2000-07-27,282.0
2000-07-28,283.75
2000-07-31,282.5
2000-08-01,281.0
2000-08-02,281.25
2000-08-03,277.25
2000-08-04,275.5
2000-08-07,272.0
2000-08-08,274.25
2000-08-09,273.0
2000-08-10,273.25
2000-08-11,274.0
2000-08-14,276.25
2000-08-15,278.75
2000-08-16,281.25
2000-08-17,278.25
2000-08-18,279.75
2000-08-21,276.75
2000-08-22,276.25
2000-08-23,275.5
2000-08-24,281.75
2000-08-25,286.5
2000-08-28,288.5
2000-08-29,293.0
2000-08-30,288.75
2000-08-31,292.75
2000-09-01,293.25
2000-09-04,
2000-09-05,295.0
2000-09-06,289.5
2000-09-07,289.5
2000-09-08,291.0
2000-09-11,294.0
2000-09-12,293.5
2000-09-13,291.0
2000-09-14,288.0
2000-09-15,287.0
2000-09-18,290.0
2000-09-19,286.0
2000-09-20,285.0
2000-09-21,293.75
2000-09-22,295.5
2000-09-25,299.5
2000-09-26,302.0
2000-09-27,307.75
2000-09-28,310.75
2000-09-29,320.0
2000-10-02,321.0
2000-10-03,320.5
2000-10-04,318.0
2000-10-05,315.5
2000-10-06,318.5
2000-10-09,318.5
2000-10-10,325.5
2000-10-11,326.5
2000-10-12,326.75
2000-10-13,320.0
2000-10-16,324.0
2000-10-17,319.5
2000-10-18,312.75
2000-10-19,308.75
2000-10-20,309.0
2000-10-23,306.0
2000-10-24,305.5
2000-10-25,303.75
2000-10-26,305.0
2000-10-27,309.75
2000-10-30,305.75
2000-10-31,305.5
2000-11-01,305.5
2000-11-02,312.5
2000-11-03,318.75
2000-11-06,317.25
2000-11-07,315.5
2000-11-08,316.5
2000-11-09,309.5
2000-11-10,307.75
2000-11-13,309.0
2000-11-14,308.5
2000-11-15,307.5
2000-11-16,307.0
2000-11-17,309.5
2000-11-20,309.5
2000-11-21,310.0
2000-11-22,313.0
2000-11-23,
2000-11-24,318.25
2000-11-27,315.0
2000-11-28,310.75
2000-11-29,306.25
2000-11-30,309.0
2000-12-01,312.0
2000-12-04,313.0
2000-12-05,310.5
2000-12-06,310.0
2000-12-07,308.0
2000-12-08,307.0
2000-12-11,304.75
2000-12-12,302.5
2000-12-13,304.25
2000-12-14,299.0
2000-12-15,298.5
2000-12-18,316.5
2000-12-19,321.0
2000-12-20,321.25
2000-12-21,324.5
2000-12-22,327.5
2000-12-25,
2000-12-26,326.0
2000-12-27,324.0
2000-12-28,323.0
2000-12-29,330.0
2001-01-01,
2001-01-02,325.5
2001-01-03,330.25
2001-01-04,331.5
2001-01-05,331.5
2001-01-08,330.25
2001-01-09,333.0
2001-01-10,336.25
2001-01-11,337.5
2001-01-12,337.5
2001-01-15,
2001-01-16,333.75
2001-01-17,330.5
2001-01-18,332.0
2001-01-19,332.5
2001-01-22,331.75
2001-01-23,332.5
2001-01-24,332.25
2001-01-25,328.0
2001-01-26,325.0
2001-01-29,315.0
2001-01-30,315.0
2001-01-31,318.25
2001-02-01,316.5
2001-02-02,318.5
2001-02-05,315.5
2001-02-06,313.0
2001-02-07,313.25
2001-02-08,312.0
2001-02-09,312.0
2001-02-12,307.75
2001-02-13,308.75
2001-02-14,311.75
2001-02-15,311.75
2001-02-16,310.0
2001-02-19,
2001-02-20,311.0
2001-02-21,308.5
2001-02-22,308.0
