Date,Price
03-01-2000,
04-01-2000,5.375
05-01-2000,5.21
06-01-2000,5.167
07-01-2000,5.195
10-01-2000,5.19
11-01-2000,5.195
12-01-2000,5.143
13-01-2000,5.153
14-01-2000,5.15
17-01-2000,
18-01-2000,5.165
19-01-2000,5.173
20-01-2000,5.257
21-01-2000,5.26
24-01-2000,5.293
25-01-2000,5.315
26-01-2000,5.283
27-01-2000,5.415
28-01-2000,5.327
31-01-2000,5.317
01-02-2000,5.253
02-02-2000,5.24
03-02-2000,5.288
04-02-2000,5.572
07-02-2000,5.285
08-02-2000,5.34
09-02-2000,5.43
10-02-2000,5.425
11-02-2000,5.35
14-02-2000,5.27
15-02-2000,5.258
16-02-2000,5.305
17-02-2000,5.265
18-02-2000,5.283
21-02-2000,
22-02-2000,5.293
23-02-2000,5.263
24-02-2000,5.17
25-02-2000,5.088
28-02-2000,5.11
29-02-2000,5.108
01-03-2000,5.133
02-03-2000,5.063
03-03-2000,5.153
06-03-2000,5.105
07-03-2000,5.12
08-03-2000,5.125
09-03-2000,5.14
10-03-2000,5.107
13-03-2000,5.107
14-03-2000,5.132
15-03-2000,5.165
16-03-2000,5.125
17-03-2000,5.13
20-03-2000,5.068
21-03-2000,5.158
22-03-2000,5.165
23-03-2000,5.123
24-03-2000,5.148
27-03-2000,5.12
28-03-2000,5.103
29-03-2000,4.98
30-03-2000,4.983
31-03-2000,5.045
03-04-2000,5.057
04-04-2000,5.165
05-04-2000,5.137
06-04-2000,5.132
07-04-2000,5.122
10-04-2000,5.168
11-04-2000,5.145
12-04-2000,5.148
13-04-2000,5.175
14-04-2000,5.175
17-04-2000,5.143
18-04-2000,5.14
19-04-2000,5.133
20-04-2000,5.0
21-04-2000,
24-04-2000,4.953
25-04-2000,5.015
26-04-2000,4.947
27-04-2000,5.015
28-04-2000,5.015
01-05-2000,5.077
02-05-2000,5.077
03-05-2000,5.077
04-05-2000,5.17
05-05-2000,5.053
08-05-2000,5.065
09-05-2000,5.085
10-05-2000,5.08
11-05-2000,5.06
12-05-2000,5.058
15-05-2000,5.06
16-05-2000,5.145
17-05-2000,5.04
18-05-2000,5.055
19-05-2000,5.03
22-05-2000,5.048
23-05-2000,5.048
24-05-2000,5.02
25-05-2000,4.948
26-05-2000,4.963
29-05-2000,
30-05-2000,4.948
31-05-2000,4.965
01-06-2000,4.965
02-06-2000,5.05
05-06-2000,5.075
06-06-2000,5.11
07-06-2000,5.12
08-06-2000,5.097
09-06-2000,5.062
12-06-2000,5.042
13-06-2000,5.025
14-06-2000,5.09
15-06-2000,5.077
16-06-2000,5.085
19-06-2000,5.043
20-06-2000,5.035
21-06-2000,4.97
22-06-2000,4.978
23-06-2000,4.958
26-06-2000,4.985
27-06-2000,4.958
28-06-2000,4.989
29-06-2000,5.058
30-06-2000,5.083
03-07-2000,
04-07-2000,
05-07-2000,5.04
06-07-2000,5.053
07-07-2000,5.033
10-07-2000,5.053
11-07-2000,5.01
12-07-2000,5.023
13-07-2000,5.03
14-07-2000,5.05
17-07-2000,5.065
18-07-2000,5.068
19-07-2000,5.028
20-07-2000,5.04
21-07-2000,4.97
24-07-2000,4.988
25-07-2000,5.033
26-07-2000,4.99
27-07-2000,5.005
28-07-2000,5.0
31-07-2000,5.038
01-08-2000,5.028
02-08-2000,5.023
03-08-2000,5.005
04-08-2000,4.943
07-08-2000,4.97
08-08-2000,4.935
09-08-2000,4.918
10-08-2000,4.925
11-08-2000,4.945
