Date,USD_ZAR
2000-01-03,6.126
2000-01-04,6.085
2000-01-05,6.07
2000-01-06,6.08
2000-01-07,6.057
2000-01-10,6.0765
2000-01-11,6.09
2000-01-12,6.0685
2000-01-13,6.057
2000-01-14,6.075
2000-01-17,
2000-01-18,6.089
2000-01-19,6.114
2000-01-20,6.1
2000-01-21,6.128
2000-01-24,6.1675
2000-01-25,6.1617
2000-01-26,6.175
2000-01-27,6.227
2000-01-28,6.3575
2000-01-31,6.3125
2000-02-01,6.28
2000-02-02,6.2825
2000-02-03,6.2575
2000-02-04,6.286
2000-02-07,6.2905
2000-02-08,6.299
2000-02-09,6.32
2000-02-10,6.3425
2000-02-11,6.361
2000-02-14,6.355
2000-02-15,6.355
2000-02-16,6.3375
2000-02-17,6.325
2000-02-18,6.325
2000-02-21,
2000-02-22,6.313
2000-02-23,6.335
2000-02-24,6.329
2000-02-25,6.312
2000-02-28,6.3725
2000-02-29,6.34
2000-03-01,6.3525
2000-03-02,6.368
2000-03-03,6.49
2000-03-06,6.5
2000-03-07,6.523
2000-03-08,6.4825
2000-03-09,6.4025
2000-03-10,6.3875
2000-03-13,6.435
2000-03-14,6.44
2000-03-15,6.475
2000-03-16,6.45
2000-03-17,6.47
2000-03-20,6.492
2000-03-21,6.484
2000-03-22,6.4575
2000-03-23,6.478
2000-03-24,6.4835
2000-03-27,6.465
2000-03-28,6.49
2000-03-29,6.5125
2000-03-30,6.579
2000-03-31,6.535
2000-04-03,6.565
2000-04-04,6.56
2000-04-05,6.6025
2000-04-06,6.575
2000-04-07,6.561
2000-04-10,6.555
2000-04-11,6.5925
2000-04-12,6.574
2000-04-13,6.5645
2000-04-14,6.5835
2000-04-17,6.621
2000-04-18,6.61
2000-04-19,6.638
2000-04-20,6.702
2000-04-21,6.74
2000-04-24,6.7325
2000-04-25,6.7305
2000-04-26,6.805
2000-04-27,6.865
2000-04-28,6.783
2000-05-01,6.785
2000-05-02,6.775
2000-05-03,6.845
2000-05-04,6.9225
2000-05-05,6.94
2000-05-08,6.94
2000-05-09,7.09
2000-05-10,7.0755
2000-05-11,6.975
2000-05-12,7.04
2000-05-15,7.04
2000-05-16,7.0725
2000-05-17,7.1175
