Feature,Importance
usd_zar_logret,3.351588923072892
usd_zar_logret_rollmean5,3.307480885601305
usd_zar_logret_lag3,3.2384992703566446
usd_zar_logret_rollstd10,3.22327846524813
usd_zar_logret_lag4,2.8480448622312915
usd_zar_logret_lag2,2.828695084380073
usd_zar_logret_lag1,2.6777920968912183
Palladium_logret_lag2,2.6314689455956977
Gold_logret,2.5405412895839596
US_Soybean_Oil_logret_lag4,2.4077798614436006
usd_zar_logret_lag5,2.2672513772990674
US_Soybeans_logret_lag3,2.254577254472723
US_Soybeans_logret_rollmean5,2.224556045330229
Palladium_logret_lag3,2.1438982488826173
Silver_logret_lag3,2.126538545731631
Silver_logret,2.1210446997928702
US_Soybean_Oil_logret_lag2,2.0537784836095687
Palladium_logret_rollmean5,2.0156012446882388
Silver_logret_lag2,1.9626993453215924
Gold_logret_lag3,1.8980414026294976
US_Soybean_Oil_logret_lag3,1.8235518900829744
US_Soybeans_logret_lag2,1.8147440117148854
US_Soybeans_logret_rollstd10,1.7363638930649634
US_Soybean_Oil_logret_rollmean5,1.7151219349991278
Gold_logret_lag4,1.6977194769477615
US_Soybean_Oil_logret_rollstd10,1.6918277042658638
US_Soybean_Oil_logret_lag5,1.688224586181915
US_Soybean_Oil_logret_lag1,1.6087216167479765
Gold_logret_lag5,1.6052391739208152
Palladium_logret,1.5751112876060127
Silver_logret_lag4,1.5590931100490013
Palladium_logret_rollstd10,1.5396072760552324
Palladium_logret_lag5,1.5331376281380462
Silver_logret_rollstd10,1.5165468106835889
Tin_logret,1.5097584529253458
Tin_logret_lag3,1.5001083116884795
Palladium_logret_lag1,1.4582305780525904
US_Soybeans_logret_lag5,1.4311578038973949
Silver_logret_lag5,1.4300340638236342
Gold_logret_rollmean5,1.4166667615240538
Tin_logret_rollstd10,1.3982897840376607
Gold_logret_lag2,1.3534983630721897
Tin_logret_lag2,1.3319455102249278
Gold_logret_lag1,1.3144486310786496
US_Soybeans_logret_lag4,1.3019418254800426
Gold_logret_rollstd10,1.2854190913458627
Palladium_logret_lag4,1.2801751488753847
US_Soybeans_logret,1.2665174249196662
Silver_logret_rollmean5,1.1504560771646932
Silver_logret_lag1,1.1033602954367656
US_Soybean_Oil_logret,1.0135419854261094
US_Soybeans_logret_lag1,0.9233220407571623
Tin_logret_lag5,0.9211759409076632
Tin_logret_lag1,0.8846298157758367
Tin_logret_rollmean5,0.8408691780197909
Tin_logret_lag4,0.6562861829450748
