Feature,Importance
usd_zar_logret_rollstd10,701
US_Soybean_Oil_logret_lag4,343
US_Soybeans_logret_lag3,334
Silver_logret_rollstd10,319
Silver_logret_lag1,317
usd_zar_logret_lag4,314
Gold_logret_lag2,312
Gold_logret_lag5,311
Silver_logret_lag5,310
US_Soybean_Oil_logret_lag5,310
US_Soybean_Oil_logret_lag3,310
usd_zar_logret,303
US_Soybeans_logret_lag1,297
usd_zar_logret_lag1,297
usd_zar_logret_rollmean5,296
Palladium_logret_rollstd10,295
US_Soybean_Oil_logret_lag2,294
US_Soybean_Oil_logret,294
Gold_logret_lag3,292
Silver_logret,291
usd_zar_logret_lag2,291
usd_zar_logret_lag5,286
US_Soybean_Oil_logret_rollstd10,283
Gold_logret_rollstd10,282
US_Soybean_Oil_logret_rollmean5,276
US_Soybeans_logret_lag2,276
Silver_logret_lag3,274
Silver_logret_lag2,274
Palladium_logret_lag1,273
Gold_logret_lag1,271
Silver_logret_lag4,269
US_Soybeans_logret_lag4,266
Gold_logret_lag4,264
US_Soybeans_logret,264
US_Soybeans_logret_rollmean5,264
US_Soybean_Oil_logret_lag1,263
Palladium_logret,260
Gold_logret,257
US_Soybeans_logret_lag5,250
Palladium_logret_lag2,243
Palladium_logret_lag3,238
usd_zar_logret_lag3,234
Palladium_logret_rollmean5,231
Palladium_logret_lag5,222
Tin_logret_lag1,204
Tin_logret,204
Gold_logret_rollmean5,204
US_Soybeans_logret_rollstd10,197
Palladium_logret_lag4,192
Tin_logret_lag2,189
Silver_logret_rollmean5,186
Tin_logret_lag5,186
Tin_logret_lag3,161
Tin_logret_lag4,156
Tin_logret_rollmean5,153
Tin_logret_rollstd10,117
