Feature,Importance
usd_zar_logret_rollstd10,0.022510085
usd_zar_logret_rollmean5,0.021930927
Palladium_logret_rollstd10,0.021872174
Silver_logret_lag3,0.0213107
Palladium_logret_rollmean5,0.020901676
Gold_logret,0.020711565
Tin_logret_lag3,0.020651689
usd_zar_logret,0.020595869
Tin_logret_rollstd10,0.020473382
Tin_logret_lag1,0.019584764
Palladium_logret,0.01928158
US_Soybeans_logret_lag3,0.018886428
Palladium_logret_lag2,0.018810933
Gold_logret_lag5,0.018768722
usd_zar_logret_lag1,0.01876166
US_Soybeans_logret_rollmean5,0.018596727
usd_zar_logret_lag4,0.018492574
Palladium_logret_lag1,0.018483836
US_Soybean_Oil_logret_lag1,0.018185217
Silver_logret_rollstd10,0.018140795
Gold_logret_lag1,0.018089894
Silver_logret_lag4,0.018057901
US_Soybean_Oil_logret_lag2,0.017935127
Silver_logret_lag5,0.017923765
usd_zar_logret_lag3,0.017821709
Tin_logret,0.017811215
Tin_logret_lag2,0.01776924
Gold_logret_rollmean5,0.01753691
US_Soybeans_logret_lag2,0.01743495
Palladium_logret_lag5,0.017393364
US_Soybeans_logret,0.017138572
Gold_logret_rollstd10,0.017070388
US_Soybean_Oil_logret_rollmean5,0.0170593
US_Soybeans_logret_lag1,0.016998893
US_Soybeans_logret_lag4,0.016962158
Palladium_logret_lag4,0.016891526
US_Soybean_Oil_logret_lag3,0.016886128
US_Soybean_Oil_logret_lag5,0.0167634
Silver_logret_lag2,0.016728183
Silver_logret,0.016720857
US_Soybean_Oil_logret_lag4,0.016661676
Palladium_logret_lag3,0.016526693
Tin_logret_lag5,0.01649203
Gold_logret_lag3,0.016483795
Tin_logret_rollmean5,0.016471388
Gold_logret_lag4,0.016443277
Gold_logret_lag2,0.016386824
US_Soybeans_logret_lag5,0.01600974
US_Soybean_Oil_logret_rollstd10,0.015887966
Silver_logret_rollmean5,0.01586737
usd_zar_logret_lag5,0.015827468
US_Soybean_Oil_logret,0.015722355
Silver_logret_lag1,0.015520829
usd_zar_logret_lag2,0.015334863
US_Soybeans_logret_rollstd10,0.015240197
Tin_logret_lag4,0.0151788145
