Commodity,Pearson_r,Pearson_p,Granger_min_p,Best_Lag,Granger_Significant
Brent_Oil_logret,-0.200842,0.0,0.097919,4,Yes
Natural_Gas_logret,-0.029753,0.017884,0.550333,2,No
US_Soybean_Oil_logret,-0.18337,0.0,0.062411,1,Yes
US_Soybean_Meal_logret,-0.123958,0.0,0.539437,3,No
Gold_logret,-0.260007,0.0,0.00025,1,Yes
US_Copper_logret,-0.021406,0.088476,0.059967,5,Yes
Silver_logret,-0.317668,0.0,0.006899,4,Yes
US_Sugar_logret,-0.087912,0.0,0.686847,4,No
US_Soybeans_logret,-0.167094,0.0,0.090696,1,Yes
Hard_Red_Winter_Wheat_logret,-0.122022,0.0,0.399545,1,Yes
Orange_Juice_logret,-0.062529,1e-06,0.620756,2,No
platinum_logret,-0.297638,0.0,0.174916,5,Yes
US_beef_logret,-0.02852,0.023221,0.31823,1,Yes
Palladium_logret,-0.071596,0.0,0.032248,3,Yes
US_Cotton_logret,-0.012479,0.320714,0.555226,3,No
Cocoa_logret,-0.134387,0.0,0.273139,5,Yes
Coffee_logret,-0.155132,0.0,0.219903,1,Yes
Corn_logret,-0.103953,0.0,0.082443,1,Yes
Heating_Oil_logret,-0.166841,0.0,0.033902,1,Yes
Lean_Hogs_logret,-0.022329,0.075578,0.047449,5,Yes
Oats_logret,-0.079477,0.0,0.001272,4,Yes
RBOB_Gasoline_logret,-0.159419,0.0,0.031298,1,Yes
Rice_logret,-0.065586,0.0,0.13244,4,Yes
WTI_Crude_Oil_logret,-0.151784,0.0,0.007678,4,Yes
