Column,JB_Statistic,p_value,Result
usd_zar_logret,5539.991608,0.0,Non-Normal
Brent_Oil_logret,31620.785602,0.0,Non-Normal
Natural_Gas_logret,7893.95762,0.0,Non-Normal
US_Soybean_Oil_logret,1072.527357,0.0,Non-Normal
US_Soybean_Meal_logret,37951.167236,0.0,Non-Normal
Gold_logret,9251.441515,0.0,Non-Normal
US_Copper_logret,175611.21925,0.0,Non-Normal
Silver_logret,16617.039399,0.0,Non-Normal
US_Sugar_logret,1478983.53494,0.0,Non-Normal
US_Soybeans_logret,83937.279971,0.0,Non-Normal
Hard_Red_Winter_Wheat_logret,8567.662501,0.0,Non-Normal
Orange_Juice_logret,2761.568722,0.0,Non-Normal
platinum_logret,16980239.659348,0.0,Non-Normal
US_beef_logret,70843.48751,0.0,Non-Normal
Palladium_logret,980294.425729,0.0,Non-Normal
US_Cotton_logret,358416462.951084,0.0,Non-Normal
Cocoa_logret,1521.730284,0.0,Non-Normal
Coffee_logret,2490.500688,0.0,Non-Normal
Corn_logret,54269.536724,0.0,Non-Normal
Heating_Oil_logret,13185.460672,0.0,Non-Normal
Lean_Hogs_logret,186687.739042,0.0,Non-Normal
Oats_logret,2943980.214657,0.0,Non-Normal
RBOB_Gasoline_logret,61635.778539,0.0,Non-Normal
Rice_logret,253558.103949,0.0,Non-Normal
WTI_Crude_Oil_logret,107637138.688814,0.0,Non-Normal
