Column,ADF_p_value,KPSS_p_value,Status
usd_zar_logret,0.0,0.1,Stationary
platinum_logret,0.0,0.1,Stationary
US_Sugar_logret,0.0,0.1,Stationary
US_Soybeans_logret,0.0,0.1,Stationary
US_Soybean_Meal_logret,0.0,0.1,Stationary
Hard_Red_Winter_Wheat_logret,0.0,0.1,Stationary
US_Soybean_Oil_logret,0.0,0.1,Stationary
Gold_logret,0.0,0.1,Stationary
Silver_logret,0.0,0.1,Stationary
US_Copper_logret,0.0,0.1,Stationary
Natural_Gas_logret,0.0,0.1,Stationary
US_beef_logret,0.0,0.1,Stationary
Orange_Juice_logret,0.0,0.1,Stationary
Brent_Oil_logret,0.0,0.1,Stationary
US_Cotton_logret,0.0,0.1,Stationary
Palladium_logret,0.0,0.1,Stationary
Cocoa_logret,0.0,0.1,Stationary
Coffee_logret,0.0,0.1,Stationary
Corn_logret,0.0,0.1,Stationary
Heating Oil_logret,0.0,0.1,Stationary
Lean Hogs_logret,0.0,0.1,Stationary
Oats_logret,0.0,0.1,Stationary
RBOB Gasoline_logret,0.0,0.1,Stationary
Rice_logret,0.0,0.1,Stationary
WTI Crude Oil_logret,0.0,0.1,Stationary
